ticker,catalyst_date,asset,indication
TVTX,2026-04-13,Sparsentan (Filspari) sNDA FSGS,Focal segmental glomerulosclerosis (FSGS)
ORCA,2026-04-06,Orca-T,AML/ALL/MDS (allogeneic HSCT)
DNLI,2026-04-05,Tividenofusp alfa (TAK-611/DNL310),Hunter syndrome (MPS II)
RCKT,2026-03-28,Kresladi (marnetegragene autotemcel),Leukocyte adhesion deficiency type I (LAD-I)
ALDX,2026-03-16,Reproxalap (DED - 4th submission),Dry eye disease
BMY,2026-03-06,Deucravacitinib (Sotyktu) sNDA PsA,Psoriatic arthritis
ASND,2026-02-28,TransCon CNP (navepegritide),Achondroplasia
VNDA,2026-02-21,Bysanti (milsaperidone),Bipolar I disorder / Schizophrenia
MRK,2026-02-20,KEYTRUDA + chemo ± bevacizumab (ovarian),Platinum-resistant ovarian cancer
IRON,2026-02-15,Bitopertin (EPP),Erythropoietic protoporphyria (EPP)
RGNX,2026-02-08,RGX-121 (clemidsogene lanparvovec),Hunter syndrome (MPS II)
AQST,2026-02-02,Anaphylm  (dibutepinephrine) - (103),Anaphylaxis
PHAR,2026-02-01,Leniolisib - (pediactric),Activated phosphoinositide 3-kinase delta syndrome (APDS)
GKOS,2026-01-28,iDose TR,Glaucoma
JNJ,2026-01-27,"DARZALEX FASPRO (daratumumab and hyaluronidase-fihj) in combination with bortezomib, lenalidomide and dexamethasone (D-VRd) - (CEPHEUS)",Newly diagnosed multiple myeloma (NDMM)
GLSI,2026-01-22,GP2 (GLSI-100)  - (FLAMINGO-01),HER2 positive breast cancer
IBRX,2026-01-16,CD19 CAR-NK cell therapy  with rituximab - (QUILT-106),Late-stage Waldenstrom macroglobulinemia (WM)
EBS,2026-01-14,OTC NARCAN Nasal Spray w/ carrying case,Opioid overdose
FBIO,2026-01-13,ZYCUBO (copper histidinate),Menkes disease
ATRA,2026-01-12,EBVALLO (Tabelecleucel (ATA 129)) - (ALLELE),Epstein-Barr virus post-transplant lymphoproliferative disease (EBV-PTLD) after solid organ transplant (SOT)
CORT,2025-12-31,Relacorilant - (GRACE),Hypercortisolism (Cushing's Syndrome)
BIOH,2025-12-31,Troriluzole (troriluzole),Spinocerebellar ataxia
OTLK,2025-12-31,LYTENAVA (bevacizumab-vikg) / ONS-5010 - (NORSE EIGHT),Wet age-related macular degeneration (wet AMD)
CORC,2025-12-30,Relacorilant (relacorilant),Cushing's syndrome
VNDA,2025-12-30,NEREUS (tradipitant),Motion sickness
SNY,2025-12-28,Tolebrutinib,Multiple sclerosis (nrSPMS)
OMER,2025-12-24,YARTEMLEA (Narsoplimab),Hematopoietic stem cell-associated TMA (HSCT-TMA)
AGIO,2025-12-23,AQVESME (mitapivat),Thalassemia
AKCE,2025-12-23,Yartemlea (narsoplimab-wuug),HSCT-associated thrombotic microangiopathy
CRSP,2025-12-22,Zugocabtagene geleucel (zugo-cel; formerly CTX112),Systemic lupus erythematosus (SLE)
AMRX,2025-12-22,Boncresa (denosumab-mobz),Osteoporosis-related conditions
RHHBY,2025-12-22,Lunsumio VELO (mosunetuzumab-axgb),Follicular Lymphoma
AMRX,2025-12-22,Oziltus (denosumab-mobz),Osteoporosis-related conditions
NVO,2025-12-22,Wegovy pill (once-daily oral semaglutide 25 mg),"Reduce excess body weight, maintain weight reduction long term, reduce the risk of major adverse cardiovascular events"
PBM,2025-12-19,Psilocybin (NPX5),Adjustment Disorder due to a recent cancer diagnosis
CYTO,2025-12-19,Myqorzo (aficamten),Obstructive hypertrophic cardiomyopathy
