"ticker","cik","company","catalyst_type","catalyst_date","date_precision","drug","indication","source","source_url","snippet","confidence","redistribute","retrieved_at","conference","pres_type","date_basis","sources","urls","category","market_cap","price","wk52_high","wk52_low","wk52_pos","avg_volume","cash","cash_runway_months","runway_label","runway_source","runway_end","runway_guidance_url","dilution_risk","change_status","change_type","change_detail","last_checked","data_flags","formerly","outcome","outcome_date","outcome_source","qa_flag"
"BTAI","0001720893","BioXcel Therapeutics, Inc.","PDUFA","2026-11-14","day","Sublingual film containing dexmedetomidine","Agitation","sec_edgar","https://www.sec.gov/Archives/edgar/data/1720893/000110465926061773/tm2614679d1_ex99-1.htm","026. In the quarter ended on March 31, the FDA accepted the Company s supplemental New Drug Application (sNDA) for IGALMI for at-home use in the acute treatment of agitation associated with bipolar disorders or schizophrenia and assigned a PDUFA target action date of November 14, 2026. The first quarter was marked by tremendous progress, achieving a major regulatory milestone and developing the IGALMI commercial launch plan for the at-home setting, said Vimal Mehta, Ph.D., Chief Executive Officer of BioXcel Therapeutics","0.9","True","2026-07-24T11:28:44Z","","","","curated_pharma;sec_edgar","https://ir.bioxceltherapeutics.com/news-releases/news-release-details/bioxcel-therapeutics-provides-business-update-and-reports-first;https://www.sec.gov/Archives/edgar/data/1720893/000110465926061773/tm2614679d1_ex99-1.htm","drug","26872775","0.8703","8.08","0.737","1.8","344800.0","17180000","3.6","~4 mo (estimated)","estimated","2026-11-10","","HIGH — runway ends before this catalyst","","","","2026-07-24T12:34:14Z","","","","","",""
"UNCY","0001766140","Unicycive Therapeutics, Inc.","PDUFA","2026-06-29","day","Oxylanthanum Carbonate","Chronic Kidney Disease Requiring Chronic Dialysis","sec_edgar","https://www.sec.gov/Archives/edgar/data/1766140/000121390026054736/ea029027701ex99-1.htm","t Quarter 2026 Financial Results and Provides Business Update - U.S. Food and Drug Administration (FDA) review of oxylanthanum carbonate (OLC) New Drug Application (NDA) resubmission remains on track, with a Prescription Drug User Fee Act (PDUFA) target action date of June 29, 2026 - Commercial readiness activities continue in anticipation of the potential commercial launch of OLC MOUNTAIN VIEW, Calif., May 12, 2026 -- Unicycive Therapeutics, Inc. (Nasdaq: UNCY), a clinical-stage biotechnology company developing ther","0.9","True","2026-07-24T11:28:05Z","","","","fmp_news;sec_edgar","https://seekingalpha.com/article/4907351-unicycive-therapeutics-uncy-stock-catalyst-play-with-real-fundamental-upside;https://www.sec.gov/Archives/edgar/data/1766140/000121390026054736/ea029027701ex99-1.htm","drug","145782147","5.46","8.74","3.71","34.8","633437.0","54586000","22.9","into 2027","company-guided","2027-12-15","https://www.sec.gov/Archives/edgar/data/1766140/000121390026054736/ea029027701ex99-1.htm","","","","","2026-07-24T12:34:14Z","mcap corrected: FMP 21M -> SEC 27M sh (2026-05-12)","","","","",""
"MLYS","0001933414","Mineralys Therapeutics, Inc.","PDUFA","2026-12-22","day","lorundrostat","Hypertension","sec_edgar","https://www.sec.gov/Archives/edgar/data/1933414/000193341426000048/mlys202603068kex991.htm","EX-99.1 2 mlys202603068kex991.htm EX-99.1 Document Exhibit 99.1 Mineralys Therapeutics Announces FDA Acceptance of NDA for Lorundrostat for Treatment of Adults with Hypertension and Topline Explore-OSA Trial Results The FDA assigned a PDUFA target action date of December 22, 2026 The NDA is based on positive data from a successful clinical program demonstrating favorable safety and blood pressure reduction in adults with hypertension Topline results from the Phase 2 Explore-OSA exploratory trial did not reduce AHI","0.9","True","2026-07-24T11:28:33Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/1933414/000193341426000048/mlys202603068kex991.htm","drug","2227448727","27.0","47.65","12.59","41.1","853548.0","646060000","56.8","~57 mo (estimated)","estimated","2031-04-15","","","","","","2026-07-24T12:34:14Z","mcap corrected: FMP 66M -> SEC 82M sh (2026-04-27)","","","","",""
"CORT","0001088856","CORCEPT THERAPEUTICS INC","PDUFA","2026-07-11","day","Relacorilant","Hypercortisolism","sec_edgar","https://www.sec.gov/Archives/edgar/data/1088856/000119312526018704/d96058dex991.htm","hout increased safety burden Relacorilant s New Drug Application (NDA) is under review by the U.S. Food and Drug Administration (FDA) as a treatment for patients with platinum-resistant ovarian cancer with a Prescription Drug User Fee Act (PDUFA) target action date of July 11, 2026 Relacorilant s Marketing Authorization Application (MAA) for patients with platinum-resistant ovarian cancer is also under review by the European Medicines Agency (EMA) REDWOOD CITY , Calif., (Jan. 22, 2026) Corcept Therapeutics Incorporat","0.9","True","2026-07-24T11:29:02Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/1088856/000119312526018704/d96058dex991.htm","drug","10376644320","96.66","97.05","28.66","99.4","981082.0","338184000","","","","","","","","resolved","FDA-confirmed approval 2026-03-25 (NDA220641); PDUFA was 2026-07-11","2026-07-24T12:34:14Z","","","Approved","2026-03-25","https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=220641",""
"OTLK","0001649989","Outlook Therapeutics, Inc.","PDUFA","2026-07-29","day","bevacizumab","Neovascular Age-related Macular Degeneration","sec_edgar","https://www.sec.gov/Archives/edgar/data/1649989/000110465926074346/tm2618010d1_8k.htm","ogics License Application (the BLA ) for ONS-5010 (bevacizumab-vikg). The FDA determined that the BLA is a Class 1 review, which results in a 60-day review period from the date of resubmission. The FDA set a Prescription Drug User Fee Act (PDUFA) goal date of July 29, 2026. Item 9.01. Financial Statements and Exhibits. (d) Exhibits Exhibit No. Description 99.1 Press Release, dated June 16, 2026 104 Cover Page Interactive Data File (embedded within the Inline XBRL document). SIGNATURES Pursuant to the require","0.9","True","2026-07-24T11:27:33Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/1649989/000110465926074346/tm2618010d1_8k.htm","drug","159539493","1.32","3.39","0.161","35.9","6003116.0","7748226","2.0","~12+ months (company-stated, non-specific)","company-guided","","https://www.sec.gov/Archives/edgar/data/1649989/000110465926062632/otlk-20260331x10q.htm","ELEVATED — under 12 months","","","","2026-07-24T12:34:14Z","mcap corrected: FMP 41M -> SEC 121M sh (2026-05-12)","","","","",""
"NUVL","0001861560","Nuvalent","PDUFA","2026-09-18","day","Neladalkib","Non-small Cell Lung Cancer","sec_edgar","https://www.sec.gov/Archives/edgar/data/1861560/000119312526073304/nuvl-ex99_1.htm","estones, and Reports Fourth Quarter and Full Year 2025 Financial Results Commercial preparations well underway to support potential U.S. launch of zidesamtinib in TKI pre-treated advanced ROS1-positive NSCLC population, pending FDA review; PDUFA target action date of September 18, 2026 NDA submission for neladalkib in TKI pre-treated advanced ALK-positive NSCLC population planned for the first half of 2026 Submission for potential label expansion of zidesamtinib in TKI-na ve advanced ROS1-positive NSCLC population planne","0.9","True","2026-07-24T11:28:32Z","","","","curated_pharma;fmp_news;fmp_press;sec_edgar","https://www.prnewswire.com/news-releases/nuvalent-highlights-recent-pipeline-progress-reiterates-key-anticipated-milestones-and-reports-first-quarter-2026-financial-results-302763296.html;https://www.sec.gov/Archives/edgar/data/1861560/000119312526073304/nuvl-ex99_1.htm","drug","9134982669","123.96","123.99","71.13","99.9","0.0","1287476000","49.4","into 2029","company-guided","2029-12-15","https://www.sec.gov/Archives/edgar/data/1861560/000186156026000020/nuvl-ex99_1.htm","","","","","2026-07-24T12:34:14Z","","","","","",""
"PHAR","0001828316","Pharming Group N.V.","PDUFA","2026-10-24","day","Leniolisib","APDS","sec_edgar","https://www.sec.gov/Archives/edgar/data/1828316/000182831626000031/pharmingannouncesusfdaacce.htm","ngful proportion of the identified pediatric patient population. The resubmission includes additional data requested by the FDA on analytical methods used for production batch testing. The FDA has assigned a Prescription Drug User Fee Act (PDUFA) target action date of October 24, 2026. A separate sNDA seeking approval for lower doses for patients weighing less than 27 kg is planned for this summer. Fabrice Chouraqui, Chief Executive Officer of Pharming, commented We are pleased that the FDA has accepted our resubmission","0.9","True","2026-07-24T11:29:17Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/1828316/000182831626000031/pharmingannouncesusfdaacce.htm","drug","930134279","13.17","21.34","9.535","30.8","2048.0","170900000","","","","","","","","","","2026-07-24T12:34:14Z","","","","","",""
"ACHV","0000949858","ACHIEVE LIFE SCIENCES, INC.","PDUFA","2026-06-20","day","Custirsen","Non-Small Cell Lung Cancer","sec_edgar","https://www.sec.gov/Archives/edgar/data/949858/000119312526218175/d854692dex991.htm","dependence. In September 2025, the company announced that its New Drug Application, submitted to the U.S. Food and Drug Administration (FDA) in June 2025, had been accepted for review. The FDA has assigned a Prescription Drug User Fee Act (PDUFA) date of June 20, 2026. The NDA is for cytisinicline to be used as a treatment of nicotine dependence for smoking cessation in adults, based on two successfully completed Phase 3 studies and its open-label safety study. Additionally, the company has completed a","0.9","True","2026-07-24T11:30:27Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/949858/000119312526218175/d854692dex991.htm","drug","633406030","6.17","7.11","2.37","80.2","892970.0","29269000","7.8","~8 mo (estimated)","estimated","2027-03-18","","ELEVATED — under 12 months","","resolved","","2026-07-24T12:34:14Z","","","CRL","2026-06-20","https://www.sec.gov/Archives/edgar/data/949858/000119312526218175/d854692dex991.htm",""
"VERA","0001831828","Vera Therapeutics, Inc.","PDUFA","2026-07-07","day","Atacicept","IgA Nephropathy","sec_edgar","https://www.sec.gov/Archives/edgar/data/1831828/000119312526210351/vera-ex99_1.htm","l Results U.S. Food and Drug Administration (FDA) granted priority review to Biologics License Application (BLA) for the accelerated approval of atacicept in adult patients with IgA Nephropathy (IgAN) with a Prescription Drug User Fee Act (PDUFA) date of July 7, 2026 On track for U.S. commercial launch of atacicept in mid-2026, pending regulatory approval Strong balance sheet expected to be sufficient to fund operations beyond potential atacicept approval and U.S. commercial launch BRISBANE, Calif., Ma","0.9","True","2026-07-24T11:29:15Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/1831828/000119312526210351/vera-ex99_1.htm","drug","2609308415","36.35","56.05","19.066","46.7","2972084.0","596760000","24.4","~24 mo (estimated)","estimated","2028-08-03","","","","resolved","FDA-confirmed approval 2026-07-07 (BLA761486); PDUFA was 2026-07-07","2026-07-24T12:34:14Z","","","Approved","2026-07-07","https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761486",""
"IRD","0001228627","Opus Genetics, Inc.","PDUFA","2026-10-17","day","OPGx-RDH12","Leber Congenital Amaurosis","sec_edgar","https://www.sec.gov/Archives/edgar/data/1228627/000114036126008621/ef20067388_ex99-1.htm","d to enter clinical testing this year. Phentolamine Ophthalmic Solution 0.75% (PS) The FDA accepted the Company s supplemental New Drug Application (sNDA) for Phentolamine Ophthalmic Solution 0.75% for the treatment of presbyopia and set a PDUFA action date of October 17, 2026. LYNX-3, the second pivotal Phase 3 trial in keratorefractive participants with visual disturbances under mesopic, low-contrast conditions (dim light disturbances), is ongoing with topline results expected in the first half of 2026. Recent","0.9","True","2026-07-24T11:31:11Z","","","","sec_edgar","https://www.sec.gov/Archives/edgar/data/1228627/000114036126008621/ef20067388_ex99-1.htm","drug","241092238","2.92","5.81","1.04","39.4","1453161.0","59959000","18.5","into 2029","company-guided","2029-12-15","https://www.sec.gov/Archives/edgar/data/1228627/000162828026033856/ird-2026512xex991.htm","","","","","2026-07-24T12:34:14Z","","","","","",""
