ticker,cik,company,catalyst_type,catalyst_date,date_precision,drug,indication,source,source_url,snippet,confidence,redistribute,retrieved_at,conference,pres_type,date_basis,extractor_version
AAPG,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL  (AAPG)  (CIK 0002023311),ConferencePresentation,2025-04-25,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/2023311/000121390025036182/ea023969301ex99-2_ascentage.htm,"slands with limited liability) (Stock Code: 6855) VOLUNTARY ANNOUNCEMENT ASCENTAGE PHARMA PRESENTS RESULTS FROM FIVE PRECLINICAL STUDIES AT 2025 AMERICAN ASSOCIATION OF CANCER RESEARCH (AACR) ANNUAL MEETING, HIGHLIGHTING STRONG SYNERGISTIC",0.75,True,2026-07-12T22:10:05Z,AACR,poster,observed,2.0
AAPG,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL  (AAPG)  (CIK 0002023311),ConferencePresentation,2025-06-02,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/2023311/000121390025034806/ea023933501ex99-2_ascentage.htm,"slands with limited liability) (Stock Code: 6855) VOLUNTARY ANNOUNCEMENT ASCENTAGE PHARMA TO PRESENT DATA FROM TWO CLINICAL STUDIES AT 2025 ASCO ANNUAL MEETING, INCLUDING ORAL PRESENTATION ON LISAFTOCLAX Ascentage Pharma Group International",0.75,True,2026-07-12T21:58:38Z,ASCO,oral,observed,2.0
AAPG,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL  (AAPG)  (CIK 0002023311),ConferencePresentation,2025-12-06,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/2023311/000121390025118963/ea026877001ex99-1_ascent.htm,"77001ex99-1_ascent.htm PRESS RELEASE DATED DECEMBER 6, 2025 Exhibit 99.1 Ascentage Pharma Presents Pivotal China Registrational Study Data for Lisaftoclax in Oral Report at 2025 American Society of Hematology (ASH) Annual Meeting Lisaftocla",0.75,True,2026-07-12T22:02:56Z,ASH,unspecified,observed,2.0
AAPG,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL  (AAPG)  (CIK 0002023311),ConferencePresentation,2026-04-21,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/2023311/000121390026045375/ea0286909-6k_ascentage.htm,"6, Ascentage Pharma Group International issued a press releases entitled Ascentage Pharma to Present Four Promising Preclinical Studies Demonstrating the Potential of Combination Therapies at American Association for Cancer Research (AACR)",0.75,True,2026-07-12T22:08:59Z,AACR,unspecified,observed,2.0
AAPG,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL  (AAPG)  (CIK 0002023311),ConferencePresentation,2026-06,month,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/2023311/000121390026055466/ea029050401ex99-1.htm,".1 2 ea029050401ex99-1.htm PRESS RELEASE DATED MAY 12, 2026 Exhibit 99.1 Ascentage Pharma to Present 17 Clinical Advances at 2026 European Hematology Association Congress ROCKVILLE, MD and SUZHOU, China, May 12, 2026 Ascentage Pharma Group",0.55,True,2026-07-12T22:11:39Z,EHA,unspecified,projected,2.0
AAPG,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL  (AAPG)  (CIK 0002023311),ConferencePresentation,2026-06-02,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/2023311/000121390026046415/ea028732001ex99-2.htm,"slands with limited liability) (Stock Code: 6855) VOLUNTARY ANNOUNCEMENT ASCENTAGE PHARMA TO PRESENT DATA FROM MULTIPLE TRIALS AT 2026 ASCO ANNUAL MEETING, INCLUDING THREE RAPID ORAL PRESENTATIONS Ascentage Pharma Group International (the C",0.75,True,2026-07-12T21:58:53Z,ASCO,oral,observed,2.0
ABBV,1551152,AbbVie Inc.  (ABBV)  (CIK 0001551152),ConferencePresentation,2024-03-11,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000016/abbv-20240331xexhibit991.htm,"zation globally. At the 2024 American Academy of Dermatology (AAD) Annual Meeting, AbbVie presented 29 abstracts including three late-breaking presentations. The presented data across AbbVie and Allergan Aesthetics' extensive portfolios rei",0.75,True,2026-07-12T22:15:51Z,AAD,late-breaking,observed,2.0
ABOS,1576885,"Acumen Pharmaceuticals, Inc.  (ABOS)  (CIK 0001576885)",ConferencePresentation,2024-04-16,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1576885/000157688524000061/abos-20240514xexx991.htm,"ficacy and safety of sabirnetug for the treatment of early AD. In April 2024, the Company presented biomarker, safety and target engagement analyses from the Phase 1 INTERCEPT-AD study in AD at the American Academy of Neurology Annual Meeti",0.75,True,2026-07-12T22:15:37Z,AAN,unspecified,observed,2.0
ABOS,1576885,"Acumen Pharmaceuticals, Inc.  (ABOS)  (CIK 0001576885)",ConferencePresentation,2025-04-09,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1576885/000157688525000062/abos-20250513xexx991.htm,"an neurons, and methods to advance A selectivity measurements. In April 2025, the Company presented an encore presentation detailing the plasma pTau217 assay used in ALTITUDE-AD at the American Academy of Neurology (AAN) Annual Meeting. Mor",0.75,True,2026-07-12T22:15:29Z,AAN,unspecified,observed,2.0
ABUS,1447028,Arbutus Biopharma Corp  (ABUS)  (CIK 0001447028),ConferencePresentation,2024-11-18,day,,,sec_edgar,https://www.sec.gov/Archives/edgar/data/1447028/000117184324006400/exh_991.htm,"clinical trial Overall, in Cohort A1, 25% of patients achieved functional cure Data to be presented in late-breaker poster session at AASLD The Liver Meeting on Monday, November 18, 2024 WARMINSTER, Pa., Nov. 15, 2024 (GLOBE NEWSWIRE) -- Ar",0.75,True,2026-07-12T22:17:00Z,AASLD,late-breaking,observed,2.0
