ticker,cik,company,conference,conf_start,drug,pres_type,filing_url,accession,filed,matched_sentence,retrieved_at,reviewer,review_note
IONS,874015,IONIS PHARMACEUTICALS INC,ESC,2026-08-28,,presentation,https://www.sec.gov/Archives/edgar/data/874015/000114036126028092/ef20077664_8k.htm,0001140361-26-028092,2026-07-09,"&#160; Ionis and AstraZeneca will continue to analyze the full data set, and results will be shared with the scientific community at the European Society of Cardiology Congress in August 2026.",2026-08-04T14:44:46Z,cowork-redteam 2026-08-12,"""results will be shared ... at ESC Congress in August 2026"""
BNTX,1776985,BioNTech SE,WCLC,2026-09-12,,presentation,https://www.sec.gov/Archives/edgar/data/1776985/000177698526000055/bntxq22026ex991quarterlyre.htm,0001776985-26-000055,2026-08-04,"&#8211; Data from this trial are expected to be presented at the IASLC 2026 World Conference on Lung Cancer, or WCLC 2026, in Seoul, South Korea.",2026-08-04T14:44:54Z,cowork-redteam 2026-08-12,"""expected to be presented at the IASLC 2026 WCLC, Seoul"""
IBIO,1420720,"iBio, Inc.",EASD,2026-09-28,,presentation,https://www.sec.gov/Archives/edgar/data/1420720/000142072026000010/ibio-20260701xex99d1.htm,0001420720-26-000010,2026-07-01,"We believe Activin E blockade represents an important opportunity for iBio as the obesity market continues to evolve toward more durable and body-composition-focused therapies.&#8221; The full data will be highlighted in a presentation at the 2026 EASD Annual Meeting, taking place September 28 &#8211; October 2 in Milan.",2026-08-04T14:44:57Z,cowork-redteam 2026-08-12,"""full data will be highlighted in a presentation at the 2026 EASD Annual Meeting"""
SANA,1770121,"Sana Biotechnology, Inc.",EASD,2026-09-28,,presentation,https://www.sec.gov/Archives/edgar/data/1770121/000119312526342371/sana-ex99_1.htm,0001193125-26-342371,2026-08-10,"&#x2022; 14-month data from the study were presented at the International Society for Stem Cell Research (ISSCR) 2026 Annual Meeting in July 2026, and additional data from the IST will be presented at the European Association for the Study of Diabetes (EASD) Annual Meeting 2026 on October 2.",2026-08-12T18:18:07Z,cowork-redteam 2026-08-12,"""additional data ... will be presented at the EASD Annual Meeting 2026 on October 2"""
IPSC,1850119,"Century Therapeutics, Inc.",EASD,2026-09-28,CNTY-813,presentation,https://www.sec.gov/Archives/edgar/data/1850119/000110465926094533/tm2622911d1_ex99-1.htm,0001104659-26-094533,2026-08-12,"&nbsp; CNTY-813 preclinical data selected for oral presentations at congresses this fall &nbsp; &middot; 62 nd Annual Meeting of the European Association for the Study of Diabetes (EASD 2026; Milan,&nbsp;Italy; Presentation #225, Paris Hall, October&nbsp;2 nd , 2026, 10-11 AM CEST) &nbsp; &middot; Breakthrough T1D &reg; Clinical&nbsp;&amp; Research Congress 2026 (CRC 2026; Philadelphia, Pennsylvan",2026-08-12T18:18:09Z,cowork-redteam 2026-08-12,"""selected for oral presentations ... EASD 2026, Milan, Presentation #225, October 2"""
ENTX,1638097,Entera Bio Ltd.,ASBMR,2026-10-09,EB613,oral/late-breaker,https://www.sec.gov/Archives/edgar/data/1638097/000117891326003946/exhibit_99-1.htm,0001178913-26-003946,2026-08-07,"&nbsp; &middot; EB613 Data Selected for Plenary Poster Presentation at ASBMR 2026: In August 2026, Entera announced that new Phase 2 analysis of EB613 in postmenopausal women with osteoporosis at high risk of fracture was selected for a plenary poster presentation at the American Society for Bone and Mineral Research (ASBMR) 2026 Annual Meeting, taking place October 9&ndash;12, 2026 in Boston, Mas",2026-08-12T18:18:16Z,cowork-redteam 2026-08-12,"""selected for a plenary poster presentation at ASBMR 2026, Oct 9-12 Boston"" (pres_type should be POSTER, not oral)"
XNCR,1326732,Xencor Inc,ESMO,2026-10-23,,presentation,https://www.sec.gov/Archives/edgar/data/1326732/000132673226000055/xncr-20260805xexx991.htm,0001326732-26-000055,2026-08-05, EX-99.1 2 xncr-20260805xexx991.htm EX-99.1 Document Exhibit 99.1 Xencor Reports Second Quarter 2026 Financial Results -- XmAb819 ccRCC expansion cohorts to be presented in an oral session at ESMO 2026&#59; multiple Phase 1 sub-studies in earlier lines of therapy and additional indications now open for enrollment or planned -- -- XmAb942 enrollment in XENITH-UC remains on track with primary endpoi,2026-08-12T18:18:37Z,cowork-redteam 2026-08-12,"""to be presented in an oral session at ESMO 2026"" (pres_type should be ORAL, not generic)"
ZLAB,1704292,Zai Lab Ltd,ESMO,2026-10-23,ZL-1310,presentation,https://www.sec.gov/Archives/edgar/data/1704292/000162828026053791/zlab-202686x8kex991.htm,0001628280-26-053791,2026-08-06,"3 Anticipated Major Milestones in 2026 and the First Half of 2027 Global Pipeline Expected Clinical Developments and Data Readouts Zocilurtatug Pelitecan (zoci, DLL3-Targeting ADC&#59; formerly ZL-1310) &#8226; First-Line Extensive-Stage Small Cell Lung Cancer (ES-SCLC)&#58; Report initial Phase 1 data evaluating zoci in combination with atezolizumab, with or without chemotherapy, at the European ",2026-08-12T18:18:37Z,cowork-redteam 2026-08-12,"""Anticipated milestones: report initial Ph1 zoci data at ESMO"" — forward, edition implied by 2026 milestone table"
CRVO,1053691,CervoMed Inc.,CTAD,2026-11-16,,presentation,https://www.sec.gov/Archives/edgar/data/1053691/000143774926026771/ex_1002031.htm,0001437749-26-026771,2026-08-10,We also look forward to reporting additional biomarker data from the trial at CTAD in November.,2026-08-12T18:19:39Z,cowork-redteam 2026-08-12,"""we look forward to reporting additional biomarker data from the trial at CTAD in November"""
CYTK,1061983,"Cytokinetics, Incorporated",ESC,2026-08-28,Aficamten,late-breaking,https://ir.cytokinetics.com/press-releases/press-release-details/2026/Cytokinetics-Announces-Three-Late-Breaking-Science-Abstracts-at-the-European-Society-of-Cardiology-ESC-Congress-2026/default.aspx,,2026-07-07,"Cytokinetics announced primary results from ACACIA-HCM will be presented in a Hot Line session at the European Society of Cardiology Congress 2026, Munich, August 28-31, 2026.",2026-08-22T00:00:00Z,cowork 2026-08-22,"Lead from BPC cross-check, CONFIRMED against Cytokinetics own releases 2026-07-07 and 2026-08-20: ACACIA-HCM Hot Line, Fri Aug 28 11:45-11:58 CEST, Main Auditorium Hall B3, presenter Dr Ahmad Masri."
