ticker,cik,company,conference,conf_start,drug,pres_type,edition_year,confidence,form,filing_url,accession,filed,matched_sentence,retrieved_at
IONS,874015,IONIS PHARMACEUTICALS INC,ESC,2026-08-28,,presentation,,,,https://www.sec.gov/Archives/edgar/data/874015/000114036126028092/ef20077664_8k.htm,0001140361-26-028092,2026-07-09,"&#160; Ionis and AstraZeneca will continue to analyze the full data set, and results will be shared with the scientific community at the European Society of Cardiology Congress in August 2026.",2026-08-04T14:44:46Z
,1936258,NewAmsterdam Pharma Co N.V.,ESC,2026-08-28,obicetrapib,presentation,,,,https://www.sec.gov/Archives/edgar/data/1936258/000119312526008300/nams-ex99_1.htm,0001193125-26-008300,2026-01-09,"&#x2022; In August 2025, NewAmsterdam presented pooled efficacy and safety data from its pivotal Phase 3 BROADWAY and BROOKLYN trials at the European Society of Cardiology Congress (&#x201c;ESC&#x201d;) 2025, along with the simultaneous publication in the Journal of the American College of Cardiology, highlighting obicetrapib&#x2019;s performance across diverse lipid-lowering backgrounds observed ",2026-08-04T14:44:46Z
CYTK,1061983,CYTOKINETICS INC,ESC,2026-08-28,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1061983/000119312526206364/cytk-20260331.htm,0001193125-26-206364,2026-05-05,"In May 2025, the company announced positive topline results from MAPLE-HCM and in August 2025 the company presented the primary results of MAPLE-HCM at the European Society of Cardiology Congress 2025.",2026-08-04T14:44:47Z
,14272,BRISTOL MYERS SQUIBB CO,ESC,2026-08-28,,presentation,,,,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm,0000014272-26-000004,2026-02-11,"Our marketing and sales of prescription pharmaceuticals is limited to the approved uses of the particular product, but we continue to develop scientific data and other information about potential additional uses of our products and provide such information as scientific exchange at scientific congresses or we share information about our products in other appropriate ways, including the development",2026-08-04T14:44:48Z
ESPR,1434868,"Esperion Therapeutics, Inc.",ESC,2026-08-28,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1434868/000162828026016522/espr-20251231.htm,0001628280-26-016522,2026-03-10,"On August 26, 2023, a prespecified analysis of the total number of cardiovascular events in the CLEAR Outcomes trial population was presented at the European Society of Cardiology, or ESC, and subsequently published in JAMA Cardiology .",2026-08-04T14:44:49Z
CNTB,1835268,Connect Biopharma Holdings Ltd,ERS,2026-09-05,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1835268/000183526826000013/cntb-20251231.htm,0001835268-26-000013,2026-03-31,"During the third quarter of 2025, we presented data supporting the development of rademikibart at the European Respiratory Society Congress 2025.",2026-08-04T14:44:51Z
BNTX,1776985,BioNTech SE,WCLC,2026-09-12,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1776985/000177698526000055/bntxq22026ex991quarterlyre.htm,0001776985-26-000055,2026-08-04,"&#8211; Data from this trial are expected to be presented at the IASLC 2026 World Conference on Lung Cancer, or WCLC 2026, in Seoul, South Korea.",2026-08-04T14:44:54Z
AMRN,897448,AMARIN CORP PLC\UK,EASD,2026-09-28,,oral/late-breaker,,,,https://www.sec.gov/Archives/edgar/data/897448/000119312526085818/amrn-20251231.htm,0001193125-26-085818,2026-03-02,"&#8226; In September 2025, at the European Association for the Study of Diabetes Congress in Vienna, Austria, we along with our global collaborators supported an oral presentation analyzing the efficacy of IPE across the spectrum of baseline triglyceride to glucose index.",2026-08-04T14:44:56Z
SKYE,1516551,"Skye Bioscience, Inc.",EASD,2026-09-28,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1516551/000162828026016394/skye-20251231.htm,0001628280-26-016394,2026-03-10,"Full study data was presented at the European Association for the Study of Diabetes (""EASD"") Annual Meeting in September 2025.",2026-08-04T14:44:57Z
IBIO,1420720,"iBio, Inc.",EASD,2026-09-28,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1420720/000142072026000010/ibio-20260701xex99d1.htm,0001420720-26-000010,2026-07-01,"We believe Activin E blockade represents an important opportunity for iBio as the obesity market continues to evolve toward more durable and body-composition-focused therapies.&#8221; The full data will be highlighted in a presentation at the 2026 EASD Annual Meeting, taking place September 28 &#8211; October 2 in Milan.",2026-08-04T14:44:57Z
CALC,1534133,"CalciMedica, Inc.",ACG,2026-10-09,,oral/late-breaker,,,,https://www.sec.gov/Archives/edgar/data/1534133/000119312526088147/ck0001534133-20251231.htm,0001193125-26-088147,2026-03-03,"In October 2024, we presented late-breaking and previously announced data from CARPO during a plenary session at the American College of Gastroenterology annual meeting.",2026-08-04T14:44:59Z
,1372514,KIORA PHARMACEUTICALS INC,AAO,2026-10-09,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1372514/000137251426000047/kprx-20260331.htm,0001372514-26-000047,2026-05-08,Topline data from this trial was presented at the American Academy of Ophthalmology annual meeting in November 2023.,2026-08-04T14:45:02Z
ASND,1612042,Ascendis Pharma A/S,ASBMR,2026-10-09,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1612042/000161204226000005/asnd-20260331.htm,0001612042-26-000005,2026-05-07,"In September 2025, we announced new analyses from the pivotal ApproaCH Trial were presented at the American Society for Bone and Mineral Research (ASBMR) Annual Meeting.",2026-08-04T14:45:07Z
,1638097,Entera Bio Ltd.,ASBMR,2026-10-09,EB613,presentation,,,,https://www.sec.gov/Archives/edgar/data/1638097/000117891326001797/zk2634461.htm,0001178913-26-001797,2026-03-27,"&#160; In September and April 2025, the effects of EB613 on trabecular and cortical bone indices based on a 3D-Shaper DXA post-hoc analysis of Phase 2 results were presented at the American Society for Bone and Mineral Research (&#8220;ASBMR&#8221;) 2025 Annual Meeting and at the 2025 World Congress on Osteoporosis (WCO-IOF-ESCEO), respectively.",2026-08-04T14:45:08Z
,1818382,"Humacyte, Inc.",ASN,2026-10-21,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1818382/000181838226000004/huma-20251231.htm,0001818382-26-000004,2026-03-27,"Topline results were reported in August 2024 and expanded results, including subgroup analyses, were presented at the American Society of Nephrology&#8217;s (&#8220;ASN&#8221;) Kidney Week 2024, the premier nephrology meeting, in October 2024.",2026-08-04T14:45:13Z
PROK,1850270,PROKIDNEY CORP.,ASN,2026-10-21,REGEN-007,oral/late-breaker,,,,https://www.sec.gov/Archives/edgar/data/1850270/000119312526113893/prok-ex99_1.htm,0001193125-26-113893,2026-03-18,"&#x2022; Presented positive results from the Phase 2 REGEN-007 study of rilparencel in patients with advanced CKD and diabetes as a late-breaking clinical trial at the American Society of Nephrology (ASN) Kidney Week in November 2025, followed by a peer-reviewed publication in the Clinical Journal of the American Society of Nephrology (CJASN).",2026-08-04T14:45:13Z
VERA,1831828,"Vera Therapeutics, Inc.",ASN,2026-10-21,MAU868,presentation,,,,https://www.sec.gov/Archives/edgar/data/1831828/000119312526077442/vera-20251231.htm,0001193125-26-077442,2026-02-26,Final results from the Phase 2 clinical trial of MAU868 versus placebo were presented at ASN Kidney Week 2022 and showed that MAU868 was well tolerated and it demonstrated clinically meaningful reductions in BK antiviral activity through 36 weeks in kidney transplant patients with BK viremia.,2026-08-04T14:45:14Z
AGEN,1098972,AGENUS INC,ESMO,2026-10-23,,presentation,,,,https://www.sec.gov/Archives/edgar/data/1098972/000119312526217082/agen-20260331.htm,0001193125-26-217082,2026-05-11,"In long-term follow-up data from the Phase 1b study (n=123) presented at the European Society for Medical Oncology Gastrointestinal Cancers Congress in July 2025, BOT plus BAL showed approximately 42% two-year overall survival and median overall survival of approximately 21 months in this population.",2026-08-04T14:45:20Z
OBX,2130606,"Obsidian Therapeutics, Inc.",ESMO,2026-10-23,,presentation,,,,https://www.sec.gov/Archives/edgar/data/2130606/000119312526330810/d309963dex992.htm,0001193125-26-330810,2026-08-03,Results from the M14TIL clinical trial were presented at the European Society for Medical Oncology Congress in September 2022.,2026-08-04T14:45:20Z
NUVL,1861560,"Nuvalent, Inc.",ESMO,2026-10-23,ALKOVE-1,presentation,,,,https://www.sec.gov/Archives/edgar/data/1861560/000119312526073317/nuvl-20251231.htm,0001193125-26-073317,2026-02-26,"At the European Society for Medical Oncology Congress (ESMO) in October 2025, we presented preliminary data for neladalkib in patients with advanced ALK-positive solid tumors outside of NSCLC from the ongoing ALKOVE-1 clinical trial.",2026-08-04T14:45:21Z
CATX,728387,"Perspective Therapeutics, Inc.",ESMO,2026-10-23,,presentation,,,,https://www.sec.gov/Archives/edgar/data/728387/000072838726000004/catx-20251231.htm,0000728387-26-000004,2026-03-16,"13 Table of Contents &#160; &#160; In October 2025 at ESMO, we reported interim efficacy data for two patients in Cohort 1 and 23 patients in Cohort 2.",2026-08-04T14:45:23Z
AZN,901832,ASTRAZENECA PLC,ESMO,2026-10-23,,presentation,,,,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231xex15d1.htm,0001104659-26-019130,2026-02-24,We also had back-to-back presidential presentations for the DESTINY-Breast05 and DESTINY-Breast11 Phase III trials at the European Society for Medical Oncology Congress that demonstrated the transformative potential of Enhertu in early HER2-positive breast cancer &#x2013; a setting where there is a greater opportunity for cure.,2026-08-04T14:45:24Z
MOLN,1745114,MOLECULAR PARTNERS AG,ESMO,2026-10-23,MP0317,poster,,,,https://www.sec.gov/Archives/edgar/data/1745114/000117184326004758/exh_991.htm,0001171843-26-004758,2026-07-20," EX-99.1 2 exh_991.htm PRESS RELEASE EdgarFiling EXHIBIT 99.1 Molecular Partners Announces Clinical Progress in Phase 2 TACTIC Combination Trial of MP0317 for Patients with Cholangiocarcinoma Randomized Phase 2 study in front-line setting progressing well, with nine sites actively recruiting and patient treatment ongoing Data update expected in 2027, with trial completion in 2028 Trial-in-progress",2026-08-04T14:45:26Z
