iter	Passed	Remaining
0	46	140896
1	47	71149
2	47	47762
3	48	36115
4	48	29042
5	48	24356
6	49	21001
7	49	18490
8	49	16537
9	50	15010
10	50	13732
11	50	12668
12	51	11766
13	51	10992
14	51	10321
15	52	9734
16	52	9214
17	52	8759
18	53	8348
19	53	7978
20	53	7647
21	54	7342
22	54	7065
23	54	6811
24	55	6580
25	55	6365
26	55	6163
27	56	5990
28	56	5818
29	57	5659
30	57	5510
31	57	5369
32	58	5250
33	58	5127
34	59	5007
35	59	4894
36	59	4785
37	60	4684
38	60	4588
39	60	4496
40	61	4409
41	61	4324
42	61	4244
43	62	4169
44	62	4096
45	62	4044
46	63	3985
47	63	3927
48	64	3871
49	64	3817
50	65	3763
51	65	3709
52	65	3656
53	66	3604
54	66	3555
55	66	3506
56	67	3460
57	67	3417
58	67	3375
59	68	3337
60	68	3298
61	68	3259
62	69	3220
63	69	3184
64	69	3150
65	70	3115
66	70	3082
67	70	3050
68	71	3018
69	71	2989
70	71	2959
71	72	2931
72	72	2903
73	72	2878
74	73	2853
75	73	2827
76	73	2806
77	74	2782
78	74	2758
79	74	2735
80	75	2712
81	75	2692
82	75	2670
83	76	2649
84	76	2628
85	76	2607
86	77	2588
87	77	2569
88	77	2550
89	78	2531
90	78	2513
91	78	2496
92	79	2480
93	79	2462
94	79	2445
95	80	2429
96	80	2412
97	80	2397
98	81	2381
99	81	2366
100	81	2351
101	82	2336
102	82	2323
103	82	2309
104	83	2295
105	83	2283
106	83	2269
107	84	2256
108	84	2244
109	84	2231
110	85	2219
111	85	2207
112	85	2196
113	86	2185
114	86	2174
115	86	2162
116	87	2151
117	87	2140
118	87	2129
119	88	2120
120	88	2109
121	88	2099
122	89	2089
123	89	2078
124	89	2069
125	90	2059
126	90	2050
127	91	2043
128	91	2038
129	91	2030
130	92	2021
131	92	2012
132	92	2004
133	93	1995
134	93	1987
135	93	1978
136	94	1970
137	94	1962
138	94	1954
139	95	1947
140	95	1939
141	95	1931
142	96	1924
143	96	1916
144	96	1909
145	97	1901
146	97	1894
147	97	1887
148	98	1880
149	98	1873
150	99	1868
151	99	1861
152	99	1855
153	100	1848
154	100	1841
155	100	1835
156	101	1829
157	101	1823
158	101	1816
159	102	1810
160	102	1804
161	102	1798
162	102	1792
163	103	1786
164	103	1780
165	104	1775
166	104	1770
167	104	1765
168	105	1760
169	105	1754
170	105	1750
171	106	1746
172	106	1741
173	106	1736
174	107	1731
175	107	1726
176	107	1721
177	108	1716
178	108	1712
179	109	1709
180	109	1704
181	109	1700
182	110	1696
183	110	1692
184	110	1687
185	111	1682
186	111	1678
187	111	1674
188	112	1670
189	112	1665
190	112	1661
191	113	1656
192	113	1652
193	113	1648
194	114	1643
195	114	1639
196	114	1636
197	115	1632
198	115	1628
199	115	1623
200	116	1620
201	116	1616
202	117	1612
203	117	1608
204	117	1604
205	117	1600
206	118	1596
207	118	1593
208	119	1589
209	119	1585
210	119	1581
211	119	1578
212	120	1574
213	120	1571
214	121	1568
215	121	1564
216	121	1561
217	122	1557
218	122	1554
219	122	1550
220	123	1547
221	123	1544
222	123	1542
223	124	1539
224	124	1536
225	124	1533
226	125	1530
227	125	1527
228	126	1525
229	126	1522
230	126	1519
231	127	1516
232	127	1513
233	127	1510
234	128	1507
235	128	1504
236	128	1501
237	129	1498
238	129	1495
239	129	1493
240	130	1490
241	130	1487
242	130	1485
243	131	1482
244	131	1479
245	132	1478
246	132	1476
247	132	1474
248	133	1473
249	133	1473
250	134	1476
251	135	1474
252	135	1473
253	136	1471
254	136	1469
255	136	1467
256	137	1465
257	137	1465
258	138	1462
259	138	1460
260	139	1458
261	139	1457
262	139	1456
263	140	1454
264	140	1451
265	141	1449
266	141	1447
267	141	1445
268	142	1443
269	142	1442
270	142	1439
271	143	1437
272	143	1436
273	144	1434
274	144	1433
275	145	1431
276	145	1430
277	145	1428
278	146	1427
279	146	1425
280	147	1424
281	147	1422
282	147	1420
283	148	1420
284	148	1418
285	149	1416
286	149	1415
287	150	1413
288	150	1412
289	151	1411
290	151	1409
291	151	1408
292	152	1406
293	152	1404
294	152	1402
295	153	1400
296	153	1399
297	154	1397
298	154	1395
299	154	1393
300	155	1391
301	155	1389
302	155	1388
303	156	1386
304	156	1385
305	157	1384
306	157	1383
307	158	1382
308	158	1382
309	159	1383
310	159	1382
311	160	1382
312	160	1380
313	161	1378
314	161	1377
315	161	1375
316	162	1373
317	162	1371
318	163	1370
319	163	1368
320	163	1366
321	164	1364
322	164	1362
323	164	1361
324	165	1359
325	165	1358
326	165	1356
327	166	1355
328	166	1353
329	167	1352
330	167	1351
331	168	1350
332	168	1348
333	168	1347
334	169	1345
335	169	1344
336	169	1343
337	170	1341
338	170	1340
339	171	1339
340	171	1338
341	172	1337
342	172	1336
343	172	1334
344	173	1333
345	173	1332
346	174	1330
347	174	1328
348	174	1327
349	175	1325
350	175	1324
351	175	1322
352	176	1321
353	176	1320
354	176	1318
355	177	1317
356	177	1316
357	178	1315
358	178	1313
359	178	1312
360	179	1310
361	179	1309
362	180	1308
363	180	1306
364	180	1305
365	181	1304
366	181	1302
367	181	1301
368	182	1299
369	182	1298
370	183	1297
371	183	1296
372	183	1295
373	184	1293
374	184	1292
375	185	1291
376	185	1289
377	185	1288
378	186	1287
379	186	1285
380	186	1284
381	187	1283
382	187	1281
383	187	1280
384	188	1278
385	188	1277
386	189	1276
387	189	1275
388	189	1273
389	190	1272
390	190	1271
391	190	1269
392	191	1268
393	191	1266
394	191	1266
395	192	1264
396	192	1263
397	193	1261
398	193	1260
399	193	1259
400	194	1258
401	194	1256
402	195	1256
403	195	1255
404	195	1254
405	196	1253
406	196	1252
407	196	1251
408	197	1249
409	197	1248
410	197	1247
411	198	1246
412	198	1245
413	199	1244
414	199	1243
415	200	1242
416	200	1241
417	200	1240
418	201	1240
419	201	1238
420	202	1237
421	202	1236
422	202	1235
423	203	1234
424	203	1233
425	204	1232
426	204	1231
427	204	1230
428	205	1229
429	205	1228
430	205	1227
431	206	1226
432	206	1225
433	207	1224
434	207	1222
435	207	1221
436	208	1220
437	208	1219
438	208	1218
439	209	1216
440	209	1216
441	210	1215
442	210	1214
443	210	1213
444	211	1212
445	211	1211
446	211	1210
447	212	1209
448	212	1208
449	213	1207
450	213	1206
451	213	1204
452	214	1204
453	214	1203
454	215	1202
455	215	1201
456	215	1200
457	216	1199
458	216	1198
459	216	1197
460	217	1196
461	217	1195
462	217	1194
463	218	1193
464	218	1192
465	219	1190
466	219	1189
467	219	1188
468	220	1187
469	220	1187
470	221	1187
471	221	1185
472	221	1185
473	222	1183
474	222	1182
475	222	1181
476	223	1180
477	223	1179
478	224	1179
479	224	1178
480	224	1177
481	225	1176
482	225	1176
483	226	1175
484	226	1174
485	226	1173
486	227	1172
487	227	1172
488	228	1171
489	228	1170
490	229	1170
491	229	1169
492	229	1169
493	230	1168
494	230	1167
495	231	1166
496	231	1165
497	231	1165
498	232	1165
499	232	1164
500	233	1164
501	233	1163
502	234	1163
503	234	1162
504	235	1161
505	235	1160
506	235	1159
507	236	1158
508	236	1157
509	236	1156
510	237	1156
511	237	1155
512	238	1155
513	238	1154
514	239	1153
515	239	1153
516	239	1152
517	240	1151
518	240	1150
519	241	1150
520	241	1149
521	241	1148
522	242	1147
523	242	1147
524	243	1146
525	243	1145
526	243	1144
527	244	1143
528	244	1143
529	245	1142
530	245	1141
531	245	1140
532	246	1139
533	246	1138
534	247	1138
535	247	1137
536	247	1136
537	248	1135
538	248	1134
539	248	1134
540	249	1133
541	249	1132
542	250	1131
543	250	1130
544	250	1129
545	251	1128
546	251	1127
547	251	1126
548	252	1125
549	252	1125
550	253	1124
551	253	1123
552	254	1124
553	254	1123
554	255	1123
555	255	1124
556	256	1123
557	256	1122
558	256	1121
559	257	1121
560	257	1120
561	258	1119
562	258	1118
563	258	1117
564	259	1116
565	259	1115
566	259	1114
567	260	1113
568	260	1112
569	260	1111
570	261	1111
571	261	1110
572	261	1109
573	262	1108
574	262	1108
575	263	1107
576	263	1106
577	263	1105
578	264	1104
579	264	1103
580	265	1103
581	265	1102
582	265	1101
583	266	1101
584	266	1100
585	266	1099
586	267	1098
587	267	1097
588	267	1096
589	268	1096
590	268	1095
591	269	1095
592	269	1094
593	270	1093
594	270	1092
595	270	1092
596	271	1091
597	271	1090
598	271	1089
599	272	1088
600	272	1088
601	272	1087
602	273	1086
603	273	1085
604	274	1085
605	274	1084
606	274	1083
607	275	1082
608	275	1081
609	275	1081
610	276	1080
611	276	1080
612	277	1079
613	277	1078
614	277	1077
615	278	1076
616	278	1076
617	278	1075
618	279	1074
619	279	1074
620	280	1073
621	280	1072
622	280	1072
623	281	1071
624	281	1070
625	282	1069
626	282	1068
627	282	1067
628	283	1067
629	283	1066
630	283	1065
631	284	1064
632	284	1064
633	285	1063
634	285	1062
635	285	1062
636	286	1061
637	286	1060
638	286	1060
639	287	1059
640	287	1058
641	288	1057
642	288	1056
643	288	1056
644	289	1055
645	289	1054
646	289	1053
647	290	1053
648	290	1052
649	290	1051
650	291	1050
651	291	1049
652	291	1049
653	292	1048
654	292	1047
655	292	1046
656	293	1045
657	293	1045
658	294	1044
659	294	1044
660	295	1043
661	295	1043
662	295	1042
663	296	1041
664	296	1041
665	296	1040
666	297	1039
667	297	1039
668	298	1038
669	298	1037
670	298	1037
671	299	1036
672	299	1035
673	299	1035
674	300	1034
675	300	1033
676	301	1033
677	301	1032
678	302	1032
679	302	1032
680	302	1031
681	303	1030
682	303	1030
683	304	1029
684	304	1028
685	304	1027
686	305	1027
687	305	1026
688	305	1026
689	306	1025
690	306	1024
691	306	1023
692	307	1023
693	307	1022
694	308	1022
695	308	1022
696	309	1021
697	309	1020
698	310	1020
699	310	1019
700	310	1019
701	311	1018
702	311	1018
703	311	1017
704	312	1017
705	312	1016
706	313	1016
707	313	1015
708	314	1014
709	314	1014
710	314	1013
711	315	1013
712	315	1012
713	315	1011
714	316	1010
715	316	1010
716	317	1009
717	317	1008
718	317	1007
719	318	1007
720	318	1006
721	318	1005
722	319	1005
723	319	1004
724	320	1004
725	320	1003
726	320	1002
727	321	1002
728	321	1002
729	322	1001
730	322	1001
731	323	1000
732	323	1000
733	323	999
734	324	998
735	324	998
736	324	997
737	325	996
738	325	996
739	326	995
740	326	996
741	327	995
742	327	995
743	328	995
744	328	994
745	328	993
746	329	993
747	329	992
748	330	992
749	330	991
750	330	990
751	331	990
752	331	989
753	332	989
754	332	988
755	332	987
756	333	987
757	333	986
758	333	985
759	334	985
760	334	984
761	334	983
762	335	982
763	335	982
764	336	981
765	336	980
766	336	980
767	337	979
768	337	978
769	337	978
770	338	977
771	338	976
772	338	976
773	339	975
774	339	974
775	340	974
776	340	974
777	340	973
778	341	973
779	341	972
780	342	971
781	342	971
782	342	970
783	343	969
784	343	969
785	343	968
786	344	967
787	344	967
788	344	966
789	345	965
790	345	965
791	345	964
792	346	963
793	346	963
794	346	962
795	347	961
796	347	961
797	348	960
798	348	959
799	348	959
800	349	958
801	349	958
802	350	957
803	350	957
804	350	956
805	351	956
806	351	955
807	351	954
808	352	953
809	352	953
810	352	952
811	353	951
812	353	951
813	353	950
814	354	949
815	354	949
816	355	948
817	355	948
818	355	947
819	356	946
820	356	946
821	356	945
822	357	944
823	357	944
824	357	943
825	358	942
826	358	942
827	358	941
828	359	940
829	359	940
830	359	939
831	360	938
832	360	938
833	361	937
834	361	937
835	361	936
836	362	936
837	362	935
838	362	934
839	363	934
840	363	933
841	364	933
842	364	932
843	365	932
844	365	931
845	365	931
846	366	930
847	366	929
848	366	929
849	367	928
850	367	928
851	367	927
852	368	927
853	369	927
854	369	926
855	369	926
856	370	925
857	370	925
858	370	924
859	371	924
860	371	923
861	372	923
862	372	922
863	372	922
864	373	921
865	373	921
866	374	921
867	374	920
868	375	920
869	375	920
870	376	919
871	376	919
872	376	918
873	377	917
874	377	917
875	378	916
876	378	916
877	378	915
878	379	914
879	379	914
880	379	913
881	380	913
882	380	912
883	381	912
884	381	911
885	381	910
886	382	910
887	382	909
888	382	909
889	383	908
890	383	907
891	383	907
892	384	906
893	384	905
894	384	905
895	385	904
896	385	904
897	386	903
898	386	903
899	386	902
900	387	902
901	387	901
902	388	901
903	388	900
904	388	899
905	389	899
906	389	898
907	389	897
908	390	897
909	390	896
910	390	896
911	391	895
912	391	894
913	391	894
914	392	893
915	392	893
916	392	892
917	393	891
918	393	891
919	393	890
920	394	889
921	394	889
922	394	888
923	395	888
924	395	887
925	396	886
926	396	886
927	396	885
928	397	885
929	397	884
930	397	884
931	398	883
932	398	882
933	398	882
934	399	881
935	399	881
936	400	880
937	400	880
938	400	879
939	401	878
940	401	878
941	401	877
942	402	877
943	402	877
944	403	876
945	403	875
946	403	875
947	404	874
948	404	873
949	404	873
950	405	872
951	405	872
952	405	871
953	406	871
954	406	870
955	407	870
956	407	869
957	407	869
958	408	868
959	408	868
960	408	867
961	409	867
962	409	866
963	409	865
964	410	865
965	410	864
966	411	864
967	411	863
968	411	863
969	412	862
970	412	862
971	413	862
972	413	861
973	414	861
974	414	860
975	414	860
976	415	859
977	415	859
978	415	858
979	416	858
980	416	857
981	417	857
982	417	857
983	418	856
984	418	856
985	418	855
986	419	855
987	419	854
988	420	854
989	420	853
990	420	853
991	421	852
992	421	852
993	422	851
994	422	851
995	422	850
996	423	850
997	423	849
998	424	849
999	424	849
1000	425	848
1001	425	848
1002	425	847
1003	426	847
1004	426	847
1005	427	846
1006	427	845
1007	427	845
1008	428	844
1009	428	844
1010	428	843
1011	429	843
1012	429	842
1013	429	842
1014	430	841
1015	430	841
1016	431	840
1017	431	840
1018	431	839
1019	432	839
1020	432	838
1021	433	838
1022	433	837
1023	433	837
1024	434	836
1025	434	836
1026	435	835
1027	435	835
1028	435	834
1029	436	834
1030	436	833
1031	437	833
1032	437	832
1033	437	832
1034	438	831
1035	438	831
1036	438	830
1037	439	830
1038	439	829
1039	439	829
1040	440	828
1041	440	827
1042	440	827
1043	441	826
1044	441	826
1045	442	825
1046	442	825
1047	442	824
1048	443	824
1049	443	823
1050	443	823
1051	444	822
1052	444	822
1053	444	821
1054	445	820
1055	445	820
1056	446	820
1057	446	819
1058	446	819
1059	447	818
1060	447	817
1061	447	817
1062	448	816
1063	448	816
1064	449	815
1065	449	815
1066	449	814
1067	450	814
1068	450	813
1069	451	813
1070	451	812
1071	451	812
1072	452	812
1073	452	811
1074	452	810
1075	453	810
1076	453	809
1077	453	809
1078	454	808
1079	454	808
1080	454	807
1081	455	807
1082	455	806
1083	456	806
1084	456	805
1085	456	805
1086	457	804
1087	457	804
1088	457	803
1089	458	802
1090	458	802
1091	458	801
1092	459	801
1093	459	800
1094	460	800
1095	460	799
1096	460	799
1097	461	798
1098	461	798
1099	461	797
1100	462	797
1101	462	796
1102	463	796
1103	463	796
1104	463	795
1105	464	795
1106	464	794
1107	465	794
1108	465	793
1109	465	793
1110	466	792
1111	466	792
1112	467	791
1113	468	792
1114	468	792
1115	469	791
1116	469	791
1117	469	790
1118	470	790
1119	470	790
1120	471	789
1121	471	789
1122	471	788
1123	472	788
1124	472	787
1125	473	787
1126	473	786
1127	473	786
1128	474	786
1129	474	785
1130	475	785
1131	475	784
1132	475	783
1133	476	783
1134	476	783
1135	477	782
1136	477	782
1137	477	781
1138	478	781
1139	478	780
1140	478	780
1141	479	779
1142	479	779
1143	480	778
1144	480	778
1145	480	777
1146	481	777
1147	481	776
1148	481	776
1149	482	775
1150	482	775
1151	482	774
1152	483	774
1153	483	774
1154	484	773
1155	484	773
1156	484	772
1157	485	772
1158	485	771
1159	486	771
1160	486	770
1161	486	770
1162	487	769
1163	487	769
1164	487	768
1165	488	768
1166	488	767
1167	489	767
1168	489	767
1169	490	766
1170	490	766
1171	490	765
1172	491	765
1173	491	764
1174	491	764
1175	492	763
1176	492	763
1177	493	762
1178	493	762
1179	493	761
1180	494	761
1181	494	760
1182	494	760
1183	495	759
1184	495	759
1185	496	758
1186	496	758
1187	497	758
1188	497	758
1189	498	757
1190	498	757
1191	498	756
1192	499	756
1193	499	755
1194	499	755
1195	500	754
1196	500	754
1197	501	753
1198	501	753
1199	501	752
1200	502	752
1201	502	751
1202	502	751
1203	503	750
1204	503	750
1205	504	749
1206	504	749
1207	505	749
1208	505	748
1209	505	748
1210	506	748
1211	506	747
1212	507	747
1213	507	746
1214	508	746
1215	508	745
1216	508	745
1217	509	745
1218	509	744
1219	510	744
1220	510	744
1221	511	743
1222	511	743
1223	511	742
1224	512	742
1225	512	741
1226	512	741
1227	513	740
1228	513	740
1229	514	739
1230	514	739
1231	514	738
1232	515	738
1233	515	737
1234	515	737
1235	516	736
1236	516	736
1237	517	736
1238	517	735
1239	518	735
1240	518	734
1241	518	734
1242	519	733
1243	519	733
1244	519	732
1245	520	732
1246	520	732
1247	521	731
1248	521	731
1249	521	730
1250	522	730
1251	522	729
1252	523	729
1253	523	728
1254	523	728
1255	524	727
1256	524	727
1257	524	726
1258	525	726
1259	525	725
1260	525	725
1261	526	724
1262	526	724
1263	527	724
1264	527	723
1265	528	723
1266	528	722
1267	528	722
1268	529	722
1269	529	721
1270	530	721
1271	530	720
1272	530	720
1273	531	719
1274	531	719
1275	531	718
1276	532	718
1277	532	717
1278	532	717
1279	533	716
1280	533	715
1281	533	715
1282	534	714
1283	534	714
1284	535	714
1285	535	713
1286	535	713
1287	536	712
1288	536	712
1289	536	711
1290	537	711
1291	537	710
1292	537	710
1293	538	709
1294	538	709
1295	538	708
1296	539	708
1297	539	707
1298	540	707
1299	540	706
1300	540	706
1301	541	705
