ticker,company,asset,indication,stage,anchor,conf,pres_type,year,parsed_outcome,price_at_catalyst,btd,orphan,priority_review,fast_track,accelerated_approval,gene_therapy,surrogate_endpoint,single_arm_study,safety_signal_severity,ta_bucket_v2,ta_base_score,historical_crl_rate,sponsor_prior_approvals,had_adcom,ppm_flag,src,cap_tier,Drug,Indication,market_cap,size_tier,ta,key,mcap_fmp,si_t1_days_to_cover,si_t1_short_to_adv,si_t1_change_pct,cap_tier_final,conf_full,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d,cap_tier_pit,mcap_pit
MRK,Merck & Company Inc.,Cretostimogene in combination with pembrolizumab - (CORE-008),Intermediate-risk NMIBC,Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,127.88,,,,,,,,,,,,,,,,backtest,,,,,,,MRK|2024-05-24,251883360000.0,,,,large,,4.25,-0.08,0.79,-0.08,-3.81,-2.04,0.31,large,332025569509.2163
IMCR,Immunocore Holdings plc,IMC-F106C (PRAME HLA-A02) with nivolumab - (PRISM-MEL-301),First-line advanced cutaneous melanoma trial,Phase 1,2024-05-31,ASCO,unspecified,2024,MIXED,48.98,,,,,,,,,,,,,,,,backtest,,,,,,,IMCR|2024-05-31,1474734500.0,,,,small,,-14.67,-21.44,-13.9,-2.65,-8.5,-10.77,-17.66,mid,2335784184.568062
GILD,Gilead Sciences Inc.,Trodelvy (sacituzumab govitecan-hziy; SG) vs. docetaxel - (EVOKE-01),Non-small cell lung cancer (NSCLC),Phase 3,2024-05-31,ASCO,unspecified,2024,NEGATIVE,62.93,,,,,,,,,,,,,,,,backtest,,,,,,,GILD|2024-05-31,115185390000.0,3.28,3.278078897244637,2.56,large,,-3.14,-1.91,-5.57,-3.16,-1.01,0.97,1.53,large,79834275913.94536
KALV,KalVista Pharmaceuticals Inc.,Sebetralstat - (KONFIDENT-S),Hereditary angioedema (HAE),Phase 3,2024-05-31,AAAAI,unspecified,2024,UNKNOWN,11.67,,,,,,,,,,,,,,,,backtest,,,,,,,KALV|2024-05-31,683720130.06,,,,small,,-2.17,-7.56,-6.79,-0.35,7.64,3.82,7.29,,
NVS,Novartis AG,Scemblix - (ASC4FIRST),1L Chronic myeloid leukemia (CML),Phase 3,2024-05-31,ASCO,unspecified,2024,UNKNOWN,103.13,,,,,,,,,,,,,,,,backtest,,,,,,,NVS|2024-05-31,196399021420.0,,,,large,,8.78,3.45,-1.94,-0.41,2.05,4.6,4.99,large,205834216152.3033
INDP,Indaptus Therapeutics Inc.,Decoy 20,Solid tumors,Phase 1,2024-05-29,ASCO,unspecified,2024,UNKNOWN,2.76,,,,,,,,,,,,,,,,backtest,,,,,,,INDP|2024-05-29,,,,,,,-11.83,13.36,15.49,4.68,0.81,2.44,-1.63,nano,21005651.34240205
ABBV,AbbVie Inc.,ABBV-706,"Solid Tumors, SCLC",Phase 1,2024-05-28,ASCO,unspecified,2024,UNKNOWN,152.69,,,,,,,,,,,,,,,,backtest,,,,,,,ABBV|2024-05-28,314351300000.0,3.25,3.253707555491276,10.02,large,,-2.85,-2.76,-2.62,-4.56,-1.45,3.23,6.77,large,277347189372.65936
MRUS,Merus N.V.,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors",Phase 1/2,2024-05-28,UNKNOWN,unspecified,2024,MIXED,54.87,,,,,,,,,,,,,,,,backtest,,,,,,,MRUS|2024-05-28,2700483168.25,,,,mid,,45.36,32.99,30.84,37.5,-9.98,-16.05,-4.8,,
GMAB,Genmab A/S,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors",Phase 1/2,2024-05-28,UNKNOWN,unspecified,2024,MIXED,,,,,,,,,,,,,,,,,backtest,,,,,,,GMAB|2024-05-28,97160077740.03,,,,large,,-5.12,-2.0,-3.98,-5.69,-0.04,1.79,-2.43,,
BCTX,BriaCell Therapeutics Corp.,Bria-IMT - (BRIA-ABC),Advanced breast cancer,Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,1.44,,,,,,,,,,,,,,,,backtest,,,,,,,BCTX|2024-05-24,3156430.44,14.03,14.028483281552132,-3.29,nano,,-42.57,-34.1,-36.44,2.88,-4.2,6.99,-2.8,nano,22853868.484827235
CGON,"CG Oncology, Inc.",Cretostimogene in combination with pembrolizumab - (CORE-008),Intermediate-risk NMIBC,Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,32.71,,,,,,,,,,,,,,,,backtest,,,,,,,CGON|2024-05-24,,,,,,,-24.55,-26.85,5.23,0.03,8.14,20.11,17.44,small,1998538083.24728
ERAS,Erasca Inc.,ERAS-601 - (FLAGSHP-1),Advanced solid tumors,Phase 1,2024-06-01,ASCO,unspecified,2024,UNKNOWN,2.52,,,,,,,,,,,,,,,,backtest,,,,,,,ERAS|2024-06-01,,,,,,,40.78,17.76,27.92,-4.18,3.57,-9.52,-20.63,small,436864591.0134401
GMAB,Genmab A/S,Acasunlimab (GEN1046/BNT311),Non-small cell lung cancer (NSCLC),Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,28.0,False,False,False,False,False,False,False,False,0.0,LOW,0.061,0.464441219,0.0,False,False,backtest,,,,,,,GMAB|2024-05-24,97160077740.03,,,,large,,0.27,4.23,1.73,-2.13,-4.53,-1.74,-4.84,,
CHRS,Coherus Oncology Inc.,CHS-114 - (SRF114),Solid tumors,Phase 1,2024-05-24,ASCO,unspecified,2024,UNKNOWN,1.91,,,,,,,,,,,,,,,,backtest,,,,,,,CHRS|2024-05-24,158083881.06,,,,micro,,-9.87,-1.47,5.79,-5.19,-6.47,-12.44,-13.43,micro,230598736.30589008
IDYA,IDEAYA Biosciences Inc.,Darovasertib - (neo-adjuvant and adjuvant settings) - (NADOM),Ocular Melanoma,Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,37.71,,,,,,,,,,,,,,,,backtest,,,,,,,IDYA|2024-05-24,,,,,,,-8.39,-3.73,-6.61,-5.06,-2.39,1.14,-0.31,mid,2910150904.3443146
INCY,Incyte Corporation,INCB099280,Solid Tumors,Phase 1,2024-05-24,ASCO,unspecified,2024,UNKNOWN,57.31,,,,,,,,,,,,,,,,backtest,,,,,,,INCY|2024-05-24,14305087699.999998,,,,large,,6.69,11.16,8.27,0.61,-0.35,2.35,3.39,large,12899866316.260998
BNTX,BioNTech SE,YL202/BNT326,Locally advanced or metastatic non-small cell lung cancer and breast cancer,Phase 1,2024-05-24,ASCO,unspecified,2024,UNKNOWN,96.95,,,,,,,,,,,,,,,,backtest,,,,,,,BNTX|2024-05-24,26453980206.0,6.9,6.901584991756592,-7.23,large,,14.48,13.52,8.0,9.26,-4.95,3.91,-1.03,large,23534847765.0
