Tickers with pre-2024 events: 291
Eligible (have market, no historical data yet): 153
[1/153] SCYX (NASDAQ)... sent=500 new (1000 total), pc=373 new (658 total)
[2/153] FBIO (NASDAQ)... sent=500 new (1000 total), pc=377 new (877 total)
[3/153] GILD (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[4/153] ALPMY (NASDAQ)... sent=183 new (598 total), pc=0 new (0 total)
[5/153] ZYME (NASDAQ)... sent=500 new (1000 total), pc=359 new (683 total)
[6/153] XENE (NASDAQ)... sent=500 new (1000 total), pc=362 new (645 total)
[7/153] JAZZ (NASDAQ)... sent=500 new (1000 total), pc=379 new (758 total)
[8/153] CLNN (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[9/153] IPHA (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[10/153] ACET (NASDAQ)... sent=500 new (1000 total), pc=392 new (892 total)
  [saved cache after 10 tickers]
[11/153] XNCR (NASDAQ)... sent=500 new (1000 total), pc=346 new (618 total)
[12/153] LGND (NASDAQ)... sent=500 new (1000 total), pc=378 new (683 total)
[13/153] MBIO (NASDAQ)... sent=500 new (1000 total), pc=222 new (222 total)
[14/153] BTAI (NASDAQ)... sent=0 new (157 total), pc=0 new (95 total)
[15/153] PRTA (NASDAQ)... sent=500 new (1000 total), pc=374 new (666 total)
[16/153] ALT (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[17/153] OMER (NASDAQ)... sent=500 new (1000 total), pc=374 new (665 total)
[18/153] SNY (NASDAQ)... sent=500 new (1000 total), pc=359 new (686 total)
[19/153] ALDX (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[20/153] BMY (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
  [saved cache after 20 tickers]
[21/153] PYPD (NASDAQ)... sent=0 new (157 total), pc=0 new (39 total)
[22/153] IOVA (NASDAQ)... sent=500 new (1000 total), pc=384 new (842 total)
[23/153] MGNX (NASDAQ)... sent=500 new (1000 total), pc=378 new (673 total)
[24/153] IRD (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[25/153] RCUS (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[26/153] CLLS (NASDAQ)... sent=500 new (1000 total), pc=388 new (869 total)
[27/153] TRAW (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[28/153] AGEN (NASDAQ)... sent=500 new (1000 total), pc=391 new (891 total)
[29/153] CGTX (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[30/153] FDMT (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
  [saved cache after 30 tickers]
[31/153] NVCR (NASDAQ)... sent=500 new (1000 total), pc=376 new (668 total)
[32/153] BNTX (NASDAQ)... sent=500 new (1000 total), pc=374 new (741 total)
[33/153] CLDX (NASDAQ)... sent=500 new (1000 total), pc=392 new (892 total)
[34/153] NKTX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[35/153] DAWN (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[36/153] AMGN (NASDAQ)... sent=500 new (1000 total), pc=394 new (894 total)
[37/153] NVO (NASDAQ)... sent=500 new (1000 total), pc=363 new (698 total)
[38/153] LXRX (NASDAQ)... sent=500 new (1000 total), pc=378 new (677 total)
[39/153] CHRS (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[40/153] TVRD (NASDAQ)... sent=0 new (157 total), pc=0 new (69 total)
  [saved cache after 40 tickers]
[41/153] JNJ (NASDAQ)... sent=500 new (1000 total), pc=395 new (895 total)
[42/153] VERA (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[43/153] PSTV (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[44/153] PCRX (NASDAQ)... sent=500 new (1000 total), pc=375 new (666 total)
[45/153] SLS (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[46/153] TAK (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[47/153] PDSB (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[48/153] CRDF (NASDAQ)... sent=500 new (1000 total), pc=374 new (661 total)
[49/153] PTCT (NASDAQ)... sent=500 new (1000 total), pc=374 new (667 total)
[50/153] AGIO (NASDAQ)... sent=500 new (1000 total), pc=392 new (892 total)
  [saved cache after 50 tickers]
[51/153] VTGN (NASDAQ)... sent=500 new (1000 total), pc=366 new (652 total)
[52/153] INCY (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[53/153] ANNX (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[54/153] ONCY (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[55/153] CLRB (NASDAQ)... sent=500 new (1000 total), pc=0 new (401 total)
[56/153] SNDX (NASDAQ)... sent=500 new (1000 total), pc=374 new (663 total)
[57/153] LEGN (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[58/153] RVMD (NASDAQ)... sent=0 new (157 total), pc=0 new (74 total)
[59/153] LYRA (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[60/153] GMAB (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
  [saved cache after 60 tickers]
[61/153] MRNA (NASDAQ)... sent=500 new (1000 total), pc=374 new (660 total)
[62/153] GLPG (NASDAQ)... sent=500 new (1000 total), pc=392 new (882 total)
[63/153] LLY (NASDAQ)... sent=500 new (1000 total), pc=394 new (894 total)
[64/153] EXEL (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[65/153] ALVO (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[66/153] MLYS (NASDAQ)... sent=0 new (157 total), pc=0 new (74 total)
[67/153] BIVI (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[68/153] XOMA (NASDAQ)... sent=500 new (1000 total), pc=356 new (626 total)
[69/153] IMTX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[70/153] BBIO (NASDAQ)... sent=0 new (156 total), pc=0 new (156 total)
  [saved cache after 70 tickers]
[71/153] HRMY (NASDAQ)... sent=277 new (777 total), pc=262 new (548 total)
[72/153] EWTX (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[73/153] PRTC (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[74/153] TNXP (NASDAQ)... sent=500 new (1000 total), pc=0 new (70 total)
[75/153] ARQT (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[76/153] EQ (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[77/153] KOD (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[78/153] SMMT (NASDAQ)... sent=500 new (1000 total), pc=373 new (662 total)
[79/153] MIRM (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[80/153] FATE (NASDAQ)... sent=500 new (1000 total), pc=392 new (892 total)
  [saved cache after 80 tickers]
[81/153] ZLAB (NASDAQ)... sent=500 new (1000 total), pc=362 new (648 total)
[82/153] IMMP (NASDAQ)... sent=0 new (157 total), pc=0 new (74 total)
[83/153] DARE (NASDAQ)... sent=500 new (1000 total), pc=0 new (0 total)
[84/153] IONS (NASDAQ)... sent=500 new (1000 total), pc=383 new (843 total)
[85/153] HOTH (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[86/153] VTYX (NASDAQ)... sent=0 new (157 total), pc=0 new (61 total)
[87/153] CUE (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[88/153] TEVA (NASDAQ)... sent=500 new (1000 total), pc=357 new (682 total)
[89/153] AZN (NASDAQ)... sent=500 new (1000 total), pc=377 new (877 total)
[90/153] ZNTL (NASDAQ)... sent=0 new (156 total), pc=0 new (69 total)
  [saved cache after 90 tickers]
[91/153] RHHBY (NASDAQ)... sent=182 new (682 total), pc=0 new (0 total)
[92/153] ALNY (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[93/153] CMPX (NASDAQ)... sent=0 new (156 total), pc=0 new (76 total)
[94/153] ONC (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[95/153] ASND (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[96/153] PHVS (NASDAQ)... sent=0 new (157 total), pc=0 new (70 total)
[97/153] MRKR (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[98/153] VALN (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[99/153] PRAX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[100/153] CANF (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
  [saved cache after 100 tickers]
[101/153] ARGX (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[102/153] DNLI (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[103/153] DSNKY (NASDAQ)... sent=152 new (620 total), pc=0 new (0 total)
[104/153] ENTA (NASDAQ)... sent=500 new (1000 total), pc=393 new (891 total)
[105/153] MLTX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[106/153] CADL (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[107/153] RAPT (NASDAQ)... sent=0 new (157 total), pc=0 new (61 total)
[108/153] ZVRA (NASDAQ)... sent=0 new (156 total), pc=0 new (75 total)
[109/153] GSK (NASDAQ)... sent=500 new (1000 total), pc=367 new (867 total)
[110/153] CRNX (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
  [saved cache after 110 tickers]
[111/153] HURA (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[112/153] CNTB (NASDAQ)... sent=0 new (156 total), pc=0 new (76 total)
[113/153] NRIX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[114/153] REPL (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[115/153] IMMX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[116/153] AXSM (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[117/153] SRRK (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[118/153] GOSS (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[119/153] BYSI (NASDAQ)... sent=500 new (1000 total), pc=375 new (875 total)
[120/153] AURA (NASDAQ)... sent=0 new (156 total), pc=0 new (142 total)
  [saved cache after 120 tickers]
[121/153] ROIV (NASDAQ)... sent=0 new (156 total), pc=0 new (75 total)
