Tickers with pre-2024 events: 291
Eligible (have market, no historical data yet): 125
[1/125] ATRA (NASDAQ)... sent=500 new (1000 total), pc=393 new (564 total)
[2/125] MAIA (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[3/125] SGMO (NASDAQ)... sent=500 new (1000 total), pc=373 new (662 total)
[4/125] SRPT (NASDAQ)... sent=500 new (1000 total), pc=370 new (659 total)
[5/125] PCSA (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[6/125] ATXS (NASDAQ)... sent=0 new (156 total), pc=0 new (104 total)
[7/125] TRVN (NASDAQ)... sent=500 new (811 total), pc=347 new (496 total)
[8/125] ABUS (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[9/125] XFOR (NASDAQ)... sent=0 new (157 total), pc=0 new (16 total)
[10/125] TVTX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
  [saved cache after 10 tickers]
[11/125] ACXP (NASDAQ)... sent=0 new (157 total), pc=0 new (24 total)
[12/125] KRRO (NASDAQ)... sent=0 new (157 total), pc=0 new (70 total)
[13/125] TBPH (NASDAQ)... sent=500 new (1000 total), pc=368 new (644 total)
[14/125] BCYC (NASDAQ)... sent=0 new (156 total), pc=0 new (156 total)
[15/125] PPBT (NASDAQ)... sent=0 new (157 total), pc=0 new (65 total)
[16/125] NBIX (NASDAQ)... sent=500 new (1000 total), pc=375 new (667 total)
[17/125] GNLX (NASDAQ)... sent=0 new (157 total), pc=0 new (73 total)
[18/125] APVO (NASDAQ)... sent=500 new (1000 total), pc=0 new (0 total)
[19/125] PALI (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[20/125] PBYI (NASDAQ)... sent=500 new (1000 total), pc=375 new (667 total)
  [saved cache after 20 tickers]
[21/125] STOK (NASDAQ)... sent=0 new (156 total), pc=0 new (75 total)
[22/125] ADPT (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[23/125] ELDN (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[24/125] EYPT (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[25/125] RVPH (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[26/125] CRIS (NASDAQ)... sent=500 new (1000 total), pc=374 new (384 total)
[27/125] OKYO (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[28/125] KNSA (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[29/125] DVAX (NASDAQ)... sent=500 new (1000 total), pc=393 new (866 total)
[30/125] KPRX (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
  [saved cache after 30 tickers]
[31/125] IVVD (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[32/125] CRBP (NASDAQ)... sent=500 new (1000 total), pc=317 new (786 total)
[33/125] FLGT (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[34/125] MBRX (NASDAQ)... sent=500 new (1000 total), pc=0 new (0 total)
[35/125] MOLN (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[36/125] INVA (NASDAQ)... sent=500 new (1000 total), pc=384 new (847 total)
[37/125] KZIA (NASDAQ)... sent=0 new (157 total), pc=0 new (39 total)
[38/125] ALLR (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[39/125] SLNO (NASDAQ)... sent=500 new (1000 total), pc=212 new (500 total)
[40/125] OKUR (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
  [saved cache after 40 tickers]
[41/125] CNSP (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[42/125] ALC (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[43/125] PHAT (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[44/125] CSLLY (NASDAQ)... sent=163 new (624 total), pc=0 new (0 total)
[45/125] LGVN (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[46/125] EDSA (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[47/125] ITRM (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[48/125] CASI (NASDAQ)... sent=500 new (1000 total), pc=297 new (724 total)
[49/125] ATNM (NASDAQ)... sent=0 new (156 total), pc=0 new (151 total)
[50/125] AKBA (NASDAQ)... sent=500 new (1000 total), pc=388 new (888 total)
  [saved cache after 50 tickers]
[51/125] HOOK (NASDAQ)... sent=0 new (113 total), pc=0 new (4 total)
[52/125] ARVN (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[53/125] TERN (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[54/125] SLN (NASDAQ)... sent=0 new (157 total), pc=0 new (73 total)
[55/125] URGN (NASDAQ)... sent=500 new (1000 total), pc=374 new (663 total)
[56/125] PGEN (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[57/125] AUPH (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[58/125] WINT (NASDAQ)... sent=0 new (124 total), pc=0 new (0 total)
[59/125] SGHT (NASDAQ)... sent=0 new (157 total), pc=0 new (73 total)
[60/125] VXRT (NASDAQ)... sent=0 new (112 total), pc=0 new (17 total)
  [saved cache after 60 tickers]
[61/125] COGT (NASDAQ)... sent=500 new (1000 total), pc=393 new (885 total)
[62/125] NRSN (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[63/125] MIST (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[64/125] LPCN (NASDAQ)... sent=500 new (1000 total), pc=308 new (315 total)
[65/125] NBTX (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[66/125] ORIC (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[67/125] NUVL (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[68/125] PHGE (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
