loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2026-08-13,NUEDEXTA,DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE,OTSUKA AMERICA PHARMACEUTICAL INC,021879,1,False,"Oct 29, 2010",Neurology & psychiatry,N06AX
2026-08-19,TEKTURNA,ALISKIREN HEMIFUMARATE,LXO IRELAND DESIGNATED ACTIVITY CO,021985,4,False,"Mar 5, 2007",Cardiovascular,C09DX
2026-08-24,DYMISTA,AZELASTINE HYDROCHLORIDE; FLUTICASONE PROPIONATE,MYLAN SPECIALTY LP,202236,2,False,"May 1, 2012",Respiratory,R01AC
2026-09-22,SENSIPAR,CINACALCET HYDROCHLORIDE,AMGEN INC,021688,6,False,"Mar 8, 2004",Hormonal,H05BX
2026-09-28,SPRYCEL,DASATINIB,BRISTOL MYERS SQUIBB CO,021986,12,True,"Jun 28, 2006",Cancer,L01EA
2026-10-02,VEREGEN,SINECATECHINS,ANI PHARMACEUTICALS INC,021902,1,False,"Oct 31, 2006",Dermatology,D06BB
2026-10-04,ARICEPT,DONEPEZIL HYDROCHLORIDE,EISAI INC,022568,1,False,"Jul 23, 2010",Neurology & psychiatry,N06DA
2026-10-06,SAPHRIS,ASENAPINE MALEATE,ABBVIE INC,022117,21,True,"Aug 13, 2009",Psychiatry,N05AH
2026-10-11,JUVISYNC,SIMVASTATIN; SITAGLIPTIN PHOSPHATE,MERCK SHARP AND DOHME CORP,202343,12,True,"Oct 7, 2011",Diabetes,A10BD
2026-10-12,ANDROGEL,TESTOSTERONE,BESINS HEALTHCARE IRELAND LTD,022309,24,False,"Apr 29, 2011",Genitourinary & hormones,G03BA
2026-10-23,ADASUVE,LOXAPINE,NOVA PNEUMA INC,022549,1,False,"Dec 21, 2012",Psychiatry,N05AH
2026-10-26,SYNRIBO,OMACETAXINE MEPESUCCINATE,TEVA PHARMACEUTICALS INTERNATIONAL GMBH,203585,1,False,"Oct 26, 2012",Cancer,L01XX
2026-11-22,SUMAVEL DOSEPRO,SUMATRIPTAN SUCCINATE,ENDO OPERATIONS LTD,022239,2,False,"Jul 15, 2009",Pain,N02CC
