# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
MRK,Merck & Company Inc.,ASCO,2024,large,4.25,-0.08,0.79,-0.08,-3.81,-2.04,0.31
IMCR,Immunocore Holdings plc,ASCO,2024,mid,-14.67,-21.44,-13.9,-2.65,-8.5,-10.77,-17.66
GILD,Gilead Sciences Inc.,ASCO,2024,large,-3.14,-1.91,-5.57,-3.16,-1.01,0.97,1.53
KALV,KalVista Pharmaceuticals Inc.,AAAAI,2024,,-2.17,-7.56,-6.79,-0.35,7.64,3.82,7.29
NVS,Novartis AG,ASCO,2024,large,8.78,3.45,-1.94,-0.41,2.05,4.6,4.99
INDP,Indaptus Therapeutics Inc.,ASCO,2024,nano,-11.83,13.36,15.49,4.68,0.81,2.44,-1.63
ABBV,AbbVie Inc.,ASCO,2024,large,-2.85,-2.76,-2.62,-4.56,-1.45,3.23,6.77
MRUS,Merus N.V.,UNKNOWN,2024,,45.36,32.99,30.84,37.5,-9.98,-16.05,-4.8
GMAB,Genmab A/S,UNKNOWN,2024,,-5.12,-2.0,-3.98,-5.69,-0.04,1.79,-2.43
BCTX,BriaCell Therapeutics Corp.,ASCO,2024,nano,-42.57,-34.1,-36.44,2.88,-4.2,6.99,-2.8
CGON,"CG Oncology, Inc.",ASCO,2024,small,-24.55,-26.85,5.23,0.03,8.14,20.11,17.44
ERAS,Erasca Inc.,ASCO,2024,small,40.78,17.76,27.92,-4.18,3.57,-9.52,-20.63
GMAB,Genmab A/S,ASCO,2024,,0.27,4.23,1.73,-2.13,-4.53,-1.74,-4.84
CHRS,Coherus Oncology Inc.,ASCO,2024,micro,-9.87,-1.47,5.79,-5.19,-6.47,-12.44,-13.43
IDYA,IDEAYA Biosciences Inc.,ASCO,2024,mid,-8.39,-3.73,-6.61,-5.06,-2.39,1.14,-0.31
INCY,Incyte Corporation,ASCO,2024,large,6.69,11.16,8.27,0.61,-0.35,2.35,3.39
BNTX,BioNTech SE,ASCO,2024,large,14.48,13.52,8.0,9.26,-4.95,3.91,-1.03
NUVB,Nuvation Bio Inc. Class A,ASCO,2024,small,3.7,14.93,-5.23,-7.23,-3.9,-11.69,-5.84
COGT,Cogent Biosciences Inc.,ASCO,2024,small,22.6,33.61,1.39,7.5,2.37,-0.25,4.48
BCYC,Bicycle Therapeutics plc,ASCO,2024,small,-4.8,-4.88,-9.16,-3.43,7.52,3.59,7.56
BMY,Bristol-Myers Squibb Company,ASCO,2024,large,-13.8,-5.28,-5.36,-4.01,-2.6,-2.95,-2.03
EVGN,Evogene Ltd.,ASCO,2024,nano,-0.54,12.29,5.71,13.85,10.81,0.68,-6.08
KPTI,Karyopharm Therapeutics Inc.,ASCO,2024,micro,-17.15,-14.22,-15.71,-7.68,-4.33,-0.28,0.34
MRUS,Merus N.V.,ASCO,2024,,33.74,10.09,21.25,-11.25,-5.41,0.17,4.75
AZN,AstraZeneca PLC,ASCO,2024,,12.91,3.04,-0.95,-3.36,1.67,3.64,3.15
DSNKY,"Daiichi Sankyo Co., Ltd. ADR",ASCO,2024,,17.23,-1.34,-0.31,2.17,-1.67,4.18,-2.71
GMAB,Genmab A/S,ASCO,2024,,-1.74,-5.11,-5.94,0.71,1.06,-0.99,-8.58
AFMD,Affimed N.V.,ASCO,2024,,-15.53,-19.74,-17.14,3.82,53.56,40.69,54.94
NKGN,NKGen Biotech Inc.,ASCO,2024,,39.06,-10.1,42.4,57.52,-20.22,-6.18,-18.54
NUVB,Nuvation Bio Inc. Class A,ASCO,2024,small,19.23,-3.73,-6.63,0.65,-15.81,-6.45,-5.48
INAB,IN8bio Inc.,ASCO,2024,micro,15.53,19.0,15.53,17.82,3.36,10.08,-15.97
CYCC,Cyclacel Pharmaceuticals Inc.,ASCO,2024,,48.31,32.0,15.28,28.78,-17.8,-28.79,-38.26
CRBP,Corbus Pharmaceuticals Holdings Inc.,ASCO,2024,small,9.07,10.39,-4.89,-4.93,10.07,2.5,3.29
MOLN,Molecular Partners AG,ASCO,2024,micro,-8.86,-9.55,-4.76,-5.26,8.06,22.22,102.5
BDTX,Black Diamond Therapeutics Inc.,ASCO,2024,micro,-9.13,-31.32,-1.85,-2.25,0.84,6.9,14.44
BGNE,BeiGene Ltd.,ASCO,2024,,14.92,-8.26,-13.88,-2.53,4.19,4.85,7.07
ONC,BeOne Medicines Ltd.,ASCO,2024,large,14.92,-8.26,-13.88,-2.53,4.19,4.85,7.07
CGEN,Compugen Ltd.,ASCO,2024,micro,14.21,2.84,2.84,-11.07,-2.76,-6.45,-9.68
LLY,Eli Lilly and Company,ASCO,2024,large,12.95,11.62,6.54,1.6,1.49,5.44,7.88
INAB,IN8bio Inc.,ASGCT,2024,nano,-12.17,-0.98,2.02,1.2,2.97,0.99,3.96
HOWL,Werewolf Therapeutics Inc.,ASCO,2024,micro,-3.55,-21.26,-12.21,0.2,-0.2,5.73,-28.63
MURA,Mural Oncology plc,ASCO,2024,,-12.33,6.8,-0.79,-3.08,-4.77,-10.88,-11.14
XOMA,XOMA Royalty Corporation,ASCO,2024,micro,-3.82,-0.63,6.37,-1.79,-1.15,2.34,-4.56
ALKS,Alkermes plc,ASCO,2024,mid,-3.12,-0.94,-0.21,-1.02,-0.78,-3.35,-1.24
ZNTL,Zentalis Pharmaceuticals Inc.,ASCO,2024,small,-10.66,9.01,-4.31,0.17,-5.93,-0.83,-11.35
INDP,Indaptus Therapeutics Inc.,ASCO,2024,nano,-6.75,0.0,13.53,3.52,0.43,5.53,11.91
CNTB,Connect Biopharma Holdings Limited,ATS,2024,micro,-4.84,29.2,22.07,-2.75,1.69,-11.3,-7.34
ARWR,Arrowhead Pharmaceuticals Inc.,ATS,2024,mid,-3.62,3.55,-1.55,12.28,1.01,-3.43,2.1
AMGN,Amgen Inc.,ATS,2024,large,16.07,14.92,4.34,1.3,0.76,-3.93,-1.63
MRUS,Merus N.V.,UNKNOWN,2024,,-1.15,7.87,-1.31,-5.96,0.56,-2.0,23.25
GMAB,Genmab A/S,UNKNOWN,2024,,-4.72,-2.27,0.95,-0.65,2.39,2.95,-2.88
MRK,Merck & Company Inc.,ASCO,2024,large,3.92,0.29,0.67,0.17,-1.23,-4.24,-0.33
IMMX,Immix Biopharma Inc.,ASGCT,2024,micro,-28.99,-21.01,2.35,-7.23,-0.92,13.3,3.21
FATE,Fate Therapeutics Inc.,ASGCT,2024,small,-49.59,-37.82,-4.39,-9.76,10.27,11.89,-7.3
FDMT,4D Molecular Therapeutics Inc.,ARVO,2024,small,-26.6,-4.95,11.9,-0.19,-2.39,-2.62,-4.48
REGN,Regeneron Pharmaceuticals Inc.,ASGCT,2024,large,0.67,3.61,7.0,7.36,-0.2,0.85,1.43
ANNX,Annexon Inc.,ARVO,2024,small,-27.56,-22.79,8.33,5.71,1.25,0.21,-0.21
VTRS,Viatris Inc.,ARVO,2024,large,-0.51,0.26,4.71,0.0,-0.51,-3.57,-6.03
ACRV,Acrivon Therapeutics Inc.,ACR,2024,micro,96.79,55.13,-5.49,-5.03,-13.75,-16.19,-16.19
NRSN,NeuroSense Therapeutics Ltd.,AAN,2024,nano,-23.08,-4.19,-22.33,-4.76,-11.25,-21.25,-20.63
PBLA,Panbela Therapeutics Inc.,AACR,2024,,-53.51,-22.83,-9.95,-11.03,-18.6,-14.73,-26.1
PFE,Pfizer Inc.,ASCO,2024,large,12.38,17.18,5.04,2.35,-2.43,-3.18,-3.45
BPMC,Blueprint Medicines Corporation,ASCO,2024,,11.34,13.2,-5.2,-3.69,0.1,2.77,0.61
HOOK,HOOKIPA Pharma Inc.,ASCO,2024,,21.74,21.59,22.5,20.84,-18.37,-18.98,-16.43
GMAB,Genmab A/S,UNKNOWN,2024,,0.24,8.56,3.47,0.54,-6.07,-5.4,-6.84
