ticker,best_date,date_source,confidence,guided_date,guided_precision,guided_form,guided_filed,pcd,pcd_type,days_to_pcd,bucket,status,phase,enroll,enroll_type,nct,company,title
CLYM,2026-04-07,CTGOV,medium,,,,,2026-04-07,ACTUAL,-117,REPORTED/IMMINENT,COMPLETED,EARLY_PHASE1,30,ACTUAL,NCT07090655,"Climb Bio, Inc.",A Phase 1 Study of Budoprutug (TNT119) Subcutaneous and Intravenous In
MBX,2026-04-18,CTGOV,medium,,,,,2026-04-18,ACTUAL,-106,REPORTED/IMMINENT,COMPLETED,PHASE2,20,ACTUAL,NCT07029412,"MBX Biosciences, Inc.",Study to Evaluate Efficacy and Dose Response of Imapextide (STEADI)
ELTX,2026-04-20,CTGOV,medium,,,,,2026-04-20,ACTUAL,-104,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",158,ACTUAL,NCT05726864,"Elicio Therapeutics, Inc.",A Study of ELI-002 7P in Subjects With KRAS/NRAS Mutated Solid Tumors
LNTH,2026-04-21,CTGOV,medium,,,,,2026-04-21,ACTUAL,-103,REPORTED/IMMINENT,COMPLETED,PHASE3,244,ACTUAL,NCT05184088,"Lantheus Holdings, Inc.",Efficacy of [18F]Florbetaben PET for Diagnosis of Cardiac AL Amyloidos
VTGN,2026-04-21,CTGOV,medium,,,,,2026-04-21,ACTUAL,-103,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,238,ACTUAL,NCT06615557,"Vistagen Therapeutics, Inc.",Fasedienol Nasal Spray for the Acute Treatment of Anxiety in Adults Wi
RADX,2026-04-23,CTGOV,medium,,,,,2026-04-23,ACTUAL,-101,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,30,ESTIMATED,NCT06777433,Radiopharm Theranostics Ltd,Phase 2b Imaging Study of RAD101 in Participants With Suspected Recurr
ABVX,2026-04-28,CTGOV,medium,,,,,2026-04-28,ACTUAL,-96,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,1116,ACTUAL,NCT05535946,Abivax S.A.,ABTECT - Maintenance
OCUL,2026-04-29,CTGOV,medium,,,,,2026-04-29,ESTIMATED,-95,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,344,ACTUAL,NCT06223958,"OCULAR THERAPEUTIX, INC",Study to Evaluate the Efficacy and Safety of Intravitreal OTX-TKI (Ocu
ARQT,2026-04-30,CTGOV,medium,,,,,2026-04-30,ACTUAL,-94,REPORTED/IMMINENT,COMPLETED,PHASE1,22,ACTUAL,NCT07340216,"Arcutis Biotherapeutics, Inc.",Maximal Usage Pharmacokinetics and Safety Study of ARQ-154 Foam 0.3% i
CRVS,2026-04-30,CTGOV,medium,,,,,2026-04-30,ESTIMATED,-94,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,151,ESTIMATED,NCT03952078,"Corvus Pharmaceuticals, Inc.",A Dose Escalation Study Evaluating CPI-818 in Relapsed/Refractory T-Ce
RCKT,2026-05-05,CTGOV,medium,,,,,2026-05-05,ESTIMATED,-89,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,5,ESTIMATED,NCT04248439,"ROCKET PHARMACEUTICALS, INC.","Gene Therapy for Fanconi Anemia, Complementation Group A"
NMRA,2026-05-06,CTGOV,medium,,,,,2026-05-06,ACTUAL,-88,REPORTED/IMMINENT,COMPLETED,PHASE3,430,ACTUAL,NCT06058013,"Neumora Therapeutics, Inc.",Study to Assess the Effects of Oral NMRA-335140 Versus Placebo in Part
BMY,2026-05-27,CTGOV,medium,,,,,2026-05-27,ACTUAL,-67,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,545,ACTUAL,NCT03383458,BRISTOL MYERS SQUIBB CO,A Study of Nivolumab in Participants With Hepatocellular Carcinoma Who
GILD,2026-05-28,CTGOV,medium,,,,,2026-05-28,ACTUAL,-66,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,268,ACTUAL,NCT06513312,"GILEAD SCIENCES, INC.",Study of Lenacapavir Taken Twice a Year for HIV Pre-Exposure Prophylax
VRDN,2026-05-28,CTGOV,medium,,,,,2026-05-28,ACTUAL,-66,REPORTED/IMMINENT,COMPLETED,PHASE3,87,ACTUAL,NCT07155668,"Viridian Therapeutics, Inc.\DE","A Safety, Tolerability and Pharmacokinetics Study of VRDN-003 in Parti"
AGIO,2026-05-31,CTGOV,medium,,,,,2026-05-31,ESTIMATED,-63,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,59,ACTUAL,NCT06924970,"AGIOS PHARMACEUTICALS, INC.","A Dose-Finding Study of Tebapivat to Assess Efficacy, and Safety in Pa"
BMEA,2026-05-31,CTGOV,medium,,,,,2026-05-31,ESTIMATED,-63,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,80,ESTIMATED,NCT07223216,"Biomea Fusion, Inc.",Study of BMF-650 in Otherwise Healthy Overweight or Obese Adult Partic
NPCE,2026-05-31,CTGOV,medium,,,,,2026-05-31,ESTIMATED,-63,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,24,ESTIMATED,NCT05339126,NeuroPace Inc,RNS System LGS Feasibility Study
PYXS,2026-05-31,CTGOV,medium,,,,,2026-05-31,ESTIMATED,-63,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,47,ACTUAL,NCT05718557,"Pyxis Oncology, Inc.",Study of PYX-106 in Solid Tumors
SNY,2026-06-08,CTGOV,medium,,,,,2026-06-08,ACTUAL,-55,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,142,ACTUAL,NCT06687967,Sanofi,A Study to Investigate Improvement in Pruritus of Lichen Simplex Chron
EXEL,2026-06-16,CTGOV,medium,,,,,2026-06-16,ACTUAL,-47,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,901,ACTUAL,NCT05425940,"EXELIXIS, INC.",Study of XL092 + Atezolizumab vs Regorafenib in Participants With Meta
ALMS,2026-06-23,CTGOV,medium,,,,,2026-06-23,ACTUAL,-40,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,408,ACTUAL,NCT05966480,ALUMIS INC.,Phase 2 Placebo-Controlled Study to Assess the Safety and Efficacy of 
RYTM,2026-06-24,CTGOV,medium,,,,,2026-06-24,ACTUAL,-39,REPORTED/IMMINENT,COMPLETED,PHASE3,28,ACTUAL,NCT06596135,"RHYTHM PHARMACEUTICALS, INC.",Open-Label Extension Study of Setmelanotide
ACTU,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,350,ESTIMATED,NCT03678883,"ACTUATE THERAPEUTICS, INC.",9-ING-41 in Patients With Advanced Cancers
ARWR,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,311,ACTUAL,NCT06347016,"ARROWHEAD PHARMACEUTICALS, INC.",Study of Plozasiran in Adults With Severe Hypertriglyceridemia
CELC,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,701,ESTIMATED,NCT05501886,Celcuity Inc.,Gedatolisib Plus Fulvestrant With or Without Palbociclib vs Standard-o
CLDX,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,140,ACTUAL,NCT06366750,"Celldex Therapeutics, Inc.",A Study of Barzolvolimab in Patients With Prurigo Nodularis
CLNN,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,40,ESTIMATED,NCT05299658,Clene Inc.,An Open-Label Extension for the Phase 2 Study in Early Symptomatic Amy
FDMT,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",21,ACTUAL,NCT04517149,"4D Molecular Therapeutics, Inc.",4D-125 in Patients With X-Linked Retinitis Pigmentosa (XLRP)
IMRX,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",209,ACTUAL,NCT05585320,Immuneering Corp,A Phase 1/2a Study of IMM-1-104 in Participants With Advanced or Metas
LGVN,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,40,ACTUAL,NCT04925024,Longeveron Inc.,Evaluation of Lomecel-B™ Injection in Patients With Hypoplastic Left H
QTTB,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,75,ESTIMATED,NCT06018428,Q32 Bio Inc.,A Phase 2a Proof-of-Concept Trial of Bempikibart (ADX-914) for the Tre
RVMD,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,500,ACTUAL,NCT06625320,"Revolution Medicines, Inc.",Phase 3 Study of Daraxonrasib (RMC-6236) in Patients With Previously T
ZBIO,2026-06-30,CTGOV,medium,,,,,2026-06-30,ESTIMATED,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,134,ESTIMATED,NCT05786573,"Zenas BioPharma, Inc.",A Study of Obexelimab in Patients With Warm Autoimmune Hemolytic Anemi
